sgRNA,Gene,Ts13.initial,Ts13.final
52398088,THSD1,3187,3254
55263834,PAGE3,2617,3613
65762975,NLN,1659,2188
102715112,GPRASP2,1661,2717
1479980,SIRPB2,2987,3936
52185502,KRT80,833,673
68746523,SLC35E3,2136,2142
75219057,CTRB1,2308,2686
69780524,LMBRD1,2045,2329
207694698,CR1L,726,809
61790503,TMEM258,812,576
4980001,BHLHE40,1014,1185
73427652,MSS51,1556,1783
93672500,NAP1L3,1543,2071
57997758,ZNF319,1034,1778
54375883,ZNF385A,1460,1219
117281627,RNF214,1587,1705
38392106,SPRED3,2572,2875
26158347,HIST1H2BD,1705,1783
87845512,MEPE,1422,1768
21816767,MTAP,1743,2228
119470116,SLC25A5,632,464
92424790,CLLU1,1678,2105
12229767,TMEM106B,805,748
14634510,FAM84A,829,1458
32441867,CMTM7,1326,1262
6877231,OR10A4,1034,1365
28613462,SGK494,643,1007
3624100,SHPK,1270,1200
45603112,BLOC1S6,2035,2398
2557800,TNFRSF14,2865,3564
,Non-Targeting_Control-N181,3426,3542
16869108,RBBP7,2196,1242
10301634,MSRA,2107,2913
46502330,ZNF334,756,739
84669752,SSX2IP,1760,2259
99619895,ZSCAN25,2414,3293
20204375,SPECC1,1371,1541
45408715,SMC1B,1547,1934
64092865,OPRL1,714,559
118210641,AMICA1,2583,2533
76660487,LRRC32,2622,3420
108229859,ABHD13,1814,1746
6002459,NRN1,2435,2912
70175410,KCNJ2,1637,2250
151242141,SMARCD3,869,840
141003449,SPANXB1,301,192
89306286,IFIT2,2838,2680
105399485,TEX22,2483,2734
76115957,UVRAG,1949,1509
35654605,COX6B1,1204,245
110468955,FAM216A,778,589
52846793,KRT78,811,850
25301628,RHD,533,459
89386432,SEMA4D,846,498
101156630,AP1S1,478,509
67511579,CPA6,982,1127
111783238,ALDH2,2351,2853
184261230,CAMK2N2,1491,1408
70984131,LRRC49,841,487
29619722,CORO6,1280,1127
215172087,KCNK2,2648,2862
39515303,SELV,1160,1422
128268765,HS6ST1,1451,1807
23961543,PNRC2,630,528
41686975,CEACAM7,995,1113
71296384,OGFRL1,804,1137
8114950,ALOXE3,2340,3020
49831047,PAGE4,1831,1714
58133255,C14orf37,788,1036
53939353,HOXC13,230,207
116821478,APOA4,1722,1380
151669668,SPARC,724,771
56618641,TMEM260,1886,1903
30445283,SEPHS2,3078,2709
43506135,C5orf34,798,1050
119582276,ADPRH,1049,1097
48134477,SLC24A5,2250,3268
,Non-Targeting_Control-N936,2372,3198
694892,PRSS57,931,816
151174822,SH3D19,1589,2755
120155360,GCN1L1,1108,285
105033090,CASP1,711,621
