Gene	sgRNA	1qDi|beta	1qDi|z	1qDi|p-value	1qDi|fdr	1qDi|wald-p-value	1qDi|wald-fdr
CSAG1	4	0.10153	0.55696	0.43462	0.83178	0.57755	0.74864
FMR1NB	4	0.24255	1.6402	0.10178	0.51849	0.10097	0.50807
FAAH2	4	0.058717	0.12562	0.58323	0.89872	0.90004	0.94541
ZXDB	4	0.013236	0.10249	0.75626	0.95029	0.91836	0.95658
FAM47A	4	0.059811	0.36485	0.57916	0.89704	0.71522	0.83278
MOSPD2	4	0.22034	1.1515	0.1344	0.58167	0.24953	0.53663
ARHGAP36	4	0.1015	1.0019	0.43472	0.83178	0.31641	0.58699
RIBC1	4	0.15412	1.0741	0.27526	0.73063	0.28278	0.56135
AKAP14	4	0.05609	0.96004	0.59353	0.90305	0.33704	0.60061
RHOXF1	4	0.11265	0.69172	0.39857	0.81358	0.48912	0.71748
MAGEB6	4	-0.0095806	-0.095967	0.84487	0.97213	0.92355	0.9593
CXorf65	4	0.31857	1.4987	0.035253	0.31056	0.13396	0.50807
AWAT1	4	0.13864	0.82891	0.31862	0.76267	0.40716	0.65316
AWAT2	4	0.23658	1.4938	0.10949	0.53482	0.13524	0.50807
ZDHHC15	4	0.045808	0.9096	0.6343	0.91879	0.36303	0.61901
USP51	4	0.020042	0.17385	0.7318	0.94552	0.86199	0.92549
TCEAL6	4	-0.050116	-0.70817	0.99463	0.9984	0.47884	0.70941
H2BFWT	4	-0.10031	-0.65681	0.83219	0.96813	0.5113	0.73122
CXorf38	4	0.12965	1.7207	0.34482	0.77939	0.0853	0.50807
FAM122B	4	0.073608	1.298	0.53013	0.87727	0.19429	0.50956
FAM122C	4	0.11966	1.226	0.3749	0.79805	0.22021	0.51914
HSFY2	4	0.32364	1.4065	0.032369	0.29719	0.15957	0.50807
RBMY1F	4	0.20232	1.3252	0.16508	0.61906	0.18509	0.50837
USP54	4	0.094612	1.2383	0.45724	0.84336	0.21562	0.51695
NKX2-3	4	0.13062	1.0729	0.34134	0.77676	0.2833	0.56158
SLC35G1	4	-0.024038	-0.14191	0.89732	0.98175	0.88715	0.93848
CFAP58	4	-0.06189	-0.58312	0.96355	0.99259	0.55981	0.74548
SLC5A12	4	0.28319	1.4541	0.059069	0.40755	0.14592	0.50807
CCDC67	4	0.19445	1.1572	0.18009	0.63778	0.24721	0.53528
PATE1	4	0.37533	1.4205	0.012928	0.17426	0.15546	0.50807
C11orf65	4	0.28851	1.3817	0.055241	0.39566	0.16706	0.50807
LDHAL6A	4	0.18629	1.088	0.19715	0.65403	0.27658	0.55692
C11orf42	4	-0.076991	-0.5937	0.9106	0.98236	0.55271	0.74436
