Gene	sgRNA	WT|beta	WT|z	WT|p-value	WT|fdr	WT|wald-p-value	WT|wald-fdr
UPF3A	4	-0.29927	-1.8656	0.22574	0.80919	0.062095	0.58307
FGF6	4	0.057481	0.58884	0.55624	0.95665	0.55597	0.75475
WTIP	4	-0.051133	-1.0031	0.92338	0.99381	0.31579	0.64226
AQP10	4	0.053558	0.65531	0.57334	0.95908	0.51227	0.74753
LBX1	4	0.18183	1.4646	0.13852	0.70477	0.14303	0.58307
PARP16	4	0.070507	1.0055	0.49642	0.94025	0.31467	0.64124
TPM4	4	-0.010469	-0.14074	0.8848	0.99062	0.88808	0.94508
FGF12	4	0.16699	0.89894	0.16995	0.74869	0.36869	0.67984
EIF4G1	4	-0.81036	-2.1414	0.0068119	0.15205	0.032244	0.58307
PAQR7	4	-0.10428	-1.535	0.70187	0.97591	0.1248	0.58307
SLC36A4	4	0.06213	0.59748	0.53346	0.95034	0.55019	0.75244
IL10	4	0.086897	1.07	0.42646	0.91661	0.28462	0.62425
DGCR8	4	-0.95434	-2.1657	0.0023369	0.076672	0.030338	0.58307
SF3B2	4	-0.829	-2.2329	0.0061655	0.14486	0.025557	0.58307
USF2	4	-0.28704	-1.6254	0.24408	0.82116	0.10407	0.58307
SLCO5A1	4	-0.074637	-1.4765	0.81847	0.98477	0.13982	0.58307
PTK2B	4	0.025593	0.64027	0.70828	0.97642	0.522	0.74753
ZBTB33	4	0.010075	0.14049	0.78734	0.98347	0.88827	0.9451
XBP1	4	0.10493	1.5622	0.3576	0.88748	0.11825	0.58307
KRT39	4	0.18506	1.3583	0.13191	0.69589	0.17437	0.58307
SWAP70	4	-0.092054	-0.39763	0.74995	0.98173	0.6909	0.8348
C15orf59	4	-0.022948	-0.24853	0.94521	0.99461	0.80372	0.90189
LRRC74A	4	-0.16315	-1.14	0.50612	0.94357	0.25429	0.60652
WHSC1	4	0.03648	0.19049	0.65548	0.96713	0.84893	0.92463
LPCAT2	4	0.052038	0.11929	0.5804	0.96003	0.90505	0.95284
CTSV	4	0.092071	1.0573	0.40623	0.91044	0.2904	0.62766
HAGH	4	-0.052963	-0.40736	0.91398	0.99261	0.68374	0.8305
