Gene	sgRNA	WT|beta	WT|z	WT|p-value	WT|fdr	WT|wald-p-value	WT|wald-fdr
HIST1H2AL	4	-0.08969	-0.76885	0.75915	0.98228	0.44199	0.72483
MPND	4	-0.59353	-2.3474	0.034706	0.38479	0.018906	0.58307
BRCA1	4	-0.95337	-2.4721	0.0023369	0.076672	0.013431	0.55647
ARMCX5	4	-0.004833	-0.080092	0.85924	0.98986	0.93616	0.96882
SLC10A7	4	0.0061435	0.048543	0.80504	0.98384	0.96128	0.98017
TTC33	4	-0.13556	-1.0613	0.59099	0.96173	0.28855	0.62671
OR10P1	4	-0.067806	-1.2535	0.84855	0.98923	0.21004	0.58595
VKORC1L1	4	-0.16427	-1.043	0.50288	0.94287	0.29695	0.63033
BRAF	4	-0.69058	-1.7083	0.017552	0.27259	0.087574	0.58307
DCAF12	4	0.13529	1.4971	0.25398	0.82815	0.13436	0.58307
BTBD6	4	0.13291	1.1582	0.26099	0.83344	0.2468	0.60259
TRIB1	4	0.051909	0.7944	0.5809	0.96046	0.42696	0.71484
UTP15	4	-1.0816	-2.9285	0.00094471	0.042601	0.0034062	0.37232
NRAS	4	-0.05494	-0.51532	0.90468	0.99113	0.60633	0.78082
ADCY1	4	0.048646	0.35065	0.59611	0.96217	0.72585	0.85652
PADI1	4	-0.10877	-1.2437	0.68571	0.97106	0.21361	0.58701
CPED1	4	-0.078372	-0.66846	0.8042	0.98347	0.50384	0.74686
SLU7	4	-0.74407	-1.9796	0.012182	0.22791	0.047752	0.58307
C3orf18	4	0.13253	1.5958	0.26243	0.83486	0.11053	0.58307
CACNG8	4	0.17161	1.4632	0.16015	0.74014	0.14341	0.58307
FUT7	4	0.030125	0.21566	0.68636	0.97129	0.82926	0.9136
SPDYE2	4	-1.0911	-2.2229	0.00089499	0.042601	0.026221	0.58307
RGS3	4	0.15094	1.7127	0.20943	0.79562	0.086767	0.58307
OR51I1	4	0.17083	1.0785	0.16169	0.74185	0.28083	0.6209
IFITM1	4	0.04235	0.22262	0.62555	0.96377	0.82383	0.91133
TMBIM6	4	-0.036238	-0.40062	0.9914	0.9989	0.6887	0.8333
CACTIN	4	-0.42051	-1.8396	0.10785	0.65154	0.065829	0.58307
NLRP13	4	0.13874	1.4565	0.24423	0.82116	0.14526	0.58307
ADAD2	4	-0.070588	-0.87692	0.83751	0.98712	0.38053	0.68651
MPG	4	0.010035	0.14008	0.78749	0.98347	0.8886	0.9451
CMTM3	4	0.14049	1.4249	0.23827	0.81804	0.15417	0.58307
C7orf71	4	-0.026438	-0.25551	0.96236	0.99611	0.79833	0.89854
FBXO48	4	-0.1473	-1.8959	0.55445	0.95665	0.057971	0.58307
QPRT	4	0.041453	0.61867	0.62987	0.96393	0.53613	0.74817
GJA3	4	0.14721	1.0993	0.21982	0.80363	0.27162	0.61579
AFF4	4	0.03182	0.45517	0.67835	0.97007	0.64899	0.80789
MIEF1	4	-0.23426	-0.79014	0.33542	0.88206	0.42944	0.71654
FAM114A1	4	0.22237	1.4723	0.071798	0.54358	0.14094	0.58307
CDC42EP5	4	0.0084034	0.1417	0.7947	0.98347	0.88731	0.94488
MYO1B	4	0.22388	1.4379	0.070107	0.53837	0.15045	0.58307
HIST1H3F	4	-0.12694	-0.85312	0.62023	0.96355	0.39359	0.69506
GRAP2	4	0.033488	0.48796	0.66975	0.9688	0.62558	0.79319
SLC22A31	4	0.18178	1.615	0.13862	0.70477	0.10631	0.58307
PTPRD	4	0.14865	1.2571	0.21554	0.80115	0.20873	0.58595
CWC27	4	0.015199	0.15086	0.76124	0.98248	0.88009	0.9409
MED23	4	-0.3916	-2.1758	0.12913	0.69271	0.029567	0.58307
NRIP1	4	0.082894	0.94905	0.44332	0.92705	0.34259	0.66183
MMAA	4	0.2398	1.1508	0.0536	0.48084	0.2498	0.60412
BAALC	4	-0.03998	-0.48024	0.97424	0.99756	0.63105	0.7973
BIN2	4	-0.089101	-0.68858	0.76094	0.98248	0.49109	0.74686
PIGL	4	0.033264	0.47192	0.67094	0.9688	0.63698	0.80016
GDF1	4	-0.14341	-1.0864	0.56548	0.95692	0.27731	0.61872
NSMCE2	4	-0.46777	-1.8448	0.080002	0.56797	0.065066	0.58307
IFITM10	4	0.10619	0.87629	0.35307	0.8874	0.38087	0.68676
ELF4	4	0.074988	0.68368	0.47648	0.93357	0.49418	0.74686
C8orf48	4	0.14985	1.2229	0.21276	0.79836	0.22138	0.59161
CDADC1	4	-0.25437	-1.2548	0.29644	0.85733	0.20955	0.58595
SAMD10	4	-0.16381	-0.97137	0.50408	0.94287	0.33136	0.65238
EXO5	4	0.042349	0.36416	0.62555	0.96377	0.71574	0.8512
CCM2L	4	0.14584	1.1566	0.22335	0.80806	0.24742	0.60274
LRIT2	4	0.15003	1.0395	0.21216	0.79836	0.29858	0.63063
SLC7A4	4	-0.053514	-0.7555	0.91179	0.99261	0.44995	0.72985
MAGIX	4	0.20323	1.6922	0.099543	0.63312	0.090609	0.58307
ANKRD65	4	0.063319	1.2864	0.52824	0.94893	0.19831	0.58558
SPIB	4	0.22174	1.4934	0.072544	0.54478	0.13533	0.58307
TSKU	4	0.035105	0.42087	0.66169	0.96835	0.67385	0.82361
CNTFR	4	0.1738	1.2994	0.15503	0.73144	0.1938	0.58512
WDR47	4	0.085205	0.8658	0.43327	0.91949	0.3866	0.68995
NFATC2IP	4	-0.22485	-1.9111	0.35476	0.88748	0.055991	0.58307
CST9L	4	0.050221	0.83138	0.5891	0.96138	0.40576	0.70208
EFHB	4	0.14491	1.6382	0.22584	0.80919	0.10138	0.58307
KCNN2	4	-0.017746	-0.15837	0.9188	0.99312	0.87416	0.93781
PPARG	4	0.22881	1.3622	0.064986	0.52238	0.17313	0.58307
CKAP5	4	-1.0738	-1.939	0.00094471	0.042601	0.052498	0.58307
TAF11	4	-0.32889	-1.7716	0.18849	0.76785	0.076454	0.58307
ESCO2	4	0.11422	0.88059	0.32259	0.87278	0.37854	0.68525
MAPKAPK5	4	0.030125	0.31137	0.68636	0.97129	0.75552	0.87353
RFX7	4	0.19293	1.164	0.1169	0.67103	0.2444	0.60165
ASPH	4	0.025557	0.29426	0.70838	0.97649	0.76856	0.88131
HPS4	4	-0.28702	-1.5897	0.24408	0.82116	0.11191	0.58307
MOB1B	4	-0.078373	-0.38402	0.8042	0.98347	0.70097	0.84117
C1orf86	4	-0.34407	-2.1886	0.17194	0.75207	0.028624	0.58307
ASB4	4	0.12393	0.81372	0.29087	0.85539	0.4158	0.70817
FRS3	4	-0.0041333	-0.033402	0.85635	0.98974	0.97335	0.98645
LCN12	4	0.0111	0.10629	0.78162	0.98347	0.91535	0.95833
ARMS2	4	0.092963	1.0633	0.40299	0.90782	0.28764	0.62602
KIAA0232	4	0.291	1.5962	0.020485	0.29704	0.11044	0.58307
ICMT	4	-0.19777	-1.2988	0.41562	0.91452	0.194	0.58512
DNAJC2	4	-0.061163	-0.28223	0.87739	0.99062	0.77777	0.88676
RASGEF1C	4	0.072796	0.8236	0.48563	0.93581	0.41017	0.70513
COX15	4	-1.3055	-2.8294	0.00019889	0.0181	0.0046641	0.41816
GEMIN2	4	-0.44859	-1.7914	0.090294	0.60345	0.073234	0.58307
RNF7	4	-0.23738	-0.98191	0.32901	0.87774	0.32614	0.64881
ZNF230	4	0.068499	1.0719	0.50482	0.94298	0.28378	0.62334
PAPSS2	4	0.097861	0.91696	0.38465	0.90184	0.35916	0.67339
NDST4	4	-0.074277	-0.73484	0.81966	0.98477	0.46244	0.73679
NME7	4	0.29846	1.5924	0.017552	0.27259	0.11128	0.58307
SLC22A2	4	0.13888	0.90386	0.24349	0.82116	0.36607	0.6775
INHBB	4	-0.053866	-0.94774	0.90981	0.99251	0.34326	0.66223
NDUFB8	4	-0.55299	-2.0364	0.045595	0.44364	0.041707	0.58307
TMEM207	4	0.10986	1.3719	0.33855	0.88271	0.17009	0.58307
ZNF266	4	-0.139	-1.0741	0.58005	0.96003	0.28276	0.62261
GPALPP1	4	-0.068657	-1.6057	0.84547	0.98923	0.10835	0.58307
GRHPR	4	0.10904	0.80283	0.34169	0.88449	0.42207	0.71131
ITSN2	4	0.13475	0.9168	0.25552	0.82954	0.35925	0.67339
TSR2	4	-0.68552	-1.838	0.017949	0.27473	0.066067	0.58307
OR2S2	4	-0.18407	-1.5164	0.45097	0.92805	0.12943	0.58307
WDR53	4	0.11691	0.78596	0.31359	0.86702	0.43189	0.71845
CREBBP	4	0.45389	1.0694	0.00029833	0.024793	0.2849	0.62425
RCN1	4	-0.031296	-0.2755	0.98598	0.99854	0.78293	0.88995
HBG1	4	-0.0039238	-0.054359	0.85561	0.98974	0.95665	0.97816
THOC7	4	-0.19667	-0.62352	0.41826	0.91452	0.53294	0.7481
MADCAM1	4	-0.1334	-1.0023	0.59865	0.96289	0.31618	0.64259
DDIAS	4	0.070241	0.92885	0.49732	0.94031	0.35297	0.66924
C8A	4	0.048493	0.48673	0.59686	0.96217	0.62645	0.79385
KCNN3	4	0.13776	1.5957	0.24657	0.82146	0.11056	0.58307
HRASLS	4	-0.038767	-0.42592	0.97927	0.99812	0.67017	0.82095
CHMP6	4	-1.1317	-2.4164	0.00064638	0.034946	0.015675	0.58307
ZCCHC18	4	0.1504	1.6797	0.21132	0.79836	0.093017	0.58307
TUBB6	4	-0.026046	-0.17629	0.96072	0.99611	0.86007	0.93013
GRIK4	4	0.022493	0.20251	0.72325	0.97862	0.83952	0.91888
TBC1D22B	4	-0.17079	-1.0972	0.48449	0.93516	0.27256	0.61677
PASK	4	-0.027165	-0.31225	0.96544	0.99611	0.75485	0.87322
TIMP2	4	-0.045241	-0.89468	0.94998	0.99568	0.37096	0.68121
UGT1A8	4	0.02844	0.26276	0.69411	0.97285	0.79274	0.89534
MAP6	4	0.043505	1.6862	0.62097	0.96355	0.091757	0.58307
KSR2	4	0.095527	1.1625	0.39275	0.90409	0.24503	0.60198
RSPH6A	4	-0.15271	-1.0069	0.53679	0.95069	0.31396	0.64099
TOP2A	4	-1.0523	-2.9517	0.0010442	0.045064	0.0031604	0.37232
KRTAP4-7	4	-0.38533	-1.9091	0.13355	0.69694	0.05625	0.58307
MZF1	4	-0.30393	-1.6272	0.21972	0.80363	0.1037	0.58307
GTF3A	4	-0.12691	-0.77184	0.62043	0.96355	0.44021	0.72386
IL17RC	4	0.14985	1.0891	0.21276	0.79836	0.2761	0.61849
TRAPPC9	4	0.15123	0.96313	0.20873	0.79477	0.33548	0.65543
TRIL	4	0.14008	1.4231	0.23961	0.81957	0.1547	0.58307
FZD6	4	0.17225	0.62586	0.15871	0.73838	0.53141	0.74802
PRR5-ARHGAP8	4	0.077632	0.76311	0.46634	0.93231	0.4454	0.72722
HTR1A	4	0.18992	1.0842	0.12271	0.68455	0.27829	0.61963
C5	4	0.18051	1.4778	0.14101	0.70808	0.13947	0.58307
PTPN21	4	0.14667	1.0255	0.22106	0.80456	0.30512	0.63453
HOXA10	4	-0.26702	-1.9194	0.27456	0.84547	0.054939	0.58307
MORF4L2	4	0.078746	1.0789	0.46067	0.93041	0.28061	0.6208
SYCP3	4	0.019186	0.14135	0.74165	0.98072	0.88759	0.94488
TDP1	4	0.28245	1.4504	0.023966	0.32091	0.14695	0.58307
EME1	4	-0.01755	-0.13638	0.91781	0.99285	0.89152	0.94637
CDH1	4	-0.057949	-0.94019	0.89146	0.99062	0.34712	0.66526
PDE7A	4	-0.066888	-0.86861	0.85223	0.98939	0.38506	0.68914
SAC3D1	4	0.20473	1.4111	0.09651	0.62251	0.15822	0.58307
ZNF469	4	-0.014841	-0.11701	0.90493	0.99113	0.90685	0.95388
RFT1	4	-0.56965	-1.6752	0.04112	0.42151	0.0939	0.58307
CEP290	4	0.078188	1.302	0.46336	0.93223	0.19291	0.58512
PATE1	4	0.29048	1.5794	0.020634	0.29749	0.11424	0.58307
SKP1	4	-0.89491	-2.0064	0.0038286	0.10754	0.04481	0.58307
MAGEB10	4	0.1334	1.7283	0.2598	0.8332	0.083929	0.58307
PIP4K2B	4	-0.090432	-1.1981	0.75602	0.98228	0.23089	0.597
SLC38A7	4	0.21558	1.1728	0.08035	0.56797	0.24088	0.60125
KANK4	4	0.26543	1.2528	0.033562	0.37815	0.21029	0.58595
COX16	4	-0.16374	-1.1583	0.50433	0.94287	0.24673	0.60251
ZER1	4	-0.27401	-1.8306	0.26417	0.8365	0.067158	0.58307
PYCARD	4	0.0058803	0.051716	0.80648	0.98416	0.95875	0.97935
KCNB1	4	0.10954	0.94855	0.33925	0.88291	0.34285	0.66194
SLC45A3	4	0.11297	1.4293	0.32697	0.8771	0.15291	0.58307
METTL25	4	0.096572	1.3152	0.38887	0.90281	0.18843	0.58382
CFDP1	4	0.093979	0.57841	0.39981	0.90753	0.56299	0.75753
ISG20L2	4	-0.73759	-1.6618	0.01253	0.22972	0.096559	0.58307
LGALS3BP	4	-0.097767	-0.58334	0.72782	0.98018	0.55966	0.75608
CYB5B	4	-0.050469	-0.34087	0.92671	0.99381	0.7332	0.86018
CHAT	4	0.093252	1.0437	0.4018	0.90757	0.29662	0.62998
AGAP9	4	-0.55269	-1.9183	0.045595	0.44364	0.055067	0.58307
KATNAL1	4	0.20046	1.2562	0.10357	0.63915	0.20906	0.58595
LRRTM3	4	0.012457	0.12676	0.77491	0.98334	0.89913	0.9499
VN1R2	4	0.092195	0.60981	0.40563	0.91039	0.54198	0.74965
KIF24	4	-0.10956	-0.4682	0.68312	0.97092	0.63964	0.80213
SDHD	4	-0.73828	-2.2545	0.01248	0.22943	0.024163	0.58307
ADA	4	0.12123	0.76065	0.29977	0.85993	0.44686	0.72802
GTF2I	4	-0.19899	-1.0061	0.41184	0.91222	0.31439	0.64115
OR6K3	4	-0.038883	-1.3852	0.97867	0.99792	0.166	0.58307
YWHAH	4	-0.066125	-0.41219	0.85616	0.98974	0.6802	0.8286
SIPA1L2	4	0.098112	0.86658	0.3839	0.90135	0.38617	0.68976
C9orf64	4	-0.067231	-0.47484	0.85084	0.98936	0.6349	0.79922
ZNF852	4	0.082075	0.57855	0.44675	0.92805	0.56289	0.75753
GHRHR	4	0.11145	1.189	0.33259	0.8799	0.23445	0.59805
KBTBD4	4	0.076955	1.4099	0.46902	0.93231	0.15856	0.58307
FOXI3	4	0.021671	0.16103	0.72827	0.98019	0.87207	0.93641
WASF2	4	-0.016543	-0.22313	0.91309	0.99261	0.82343	0.9111
GLIS1	4	0.16087	1.4111	0.18427	0.76461	0.1582	0.58307
CTBP2	4	0.01119	0.18331	0.78113	0.98347	0.85455	0.92741
MEPE	4	-0.19353	-1.083	0.42611	0.91661	0.27881	0.62008
ADAMTS9	4	-0.008028	-0.11476	0.87371	0.99062	0.90864	0.95473
GAS2L2	4	-0.026444	-0.1832	0.96236	0.99611	0.85464	0.92745
TRMT44	4	0.057755	0.67686	0.55464	0.95665	0.4985	0.74686
PTGFRN	4	0.03038	0.24951	0.68501	0.97098	0.80296	0.90184
LDLRAP1	4	-0.19528	-1.3018	0.42174	0.91462	0.19297	0.58512
FAM196A	4	0.14263	1.5019	0.23235	0.81484	0.13312	0.58307
S100A7A	4	0.039092	0.41812	0.64136	0.96439	0.67586	0.82512
SRC	4	-0.31456	-2.1707	0.20639	0.79339	0.029954	0.58307
CHKA	4	-0.0055985	-0.12992	0.86222	0.99057	0.89663	0.9491
KDELC1	4	-0.35672	-1.8028	0.15916	0.73841	0.071425	0.58307
ADGRB3	4	-0.14964	-1.5046	0.54719	0.95489	0.13244	0.58307
KRT33B	4	-0.27579	-2.0085	0.26134	0.83368	0.044585	0.58307
OR2K2	4	0.018762	0.13831	0.74339	0.98072	0.89	0.94581
FAM166A	4	0.19904	1.563	0.10596	0.64517	0.11804	0.58307
HOGA1	4	0.12354	1.2507	0.29226	0.85694	0.21104	0.58595
EHF	4	-0.18452	-1.315	0.44993	0.92805	0.1885	0.58387
PDE9A	4	0.18433	1.5092	0.13301	0.69589	0.13125	0.58307
MSH3	4	-0.010084	-0.30711	0.88315	0.99062	0.75876	0.87518
TPPP2	4	0.042283	0.54027	0.62585	0.96386	0.58901	0.77148
PDSS2	4	-0.11396	-1.4949	0.66751	0.9688	0.13495	0.58307
ADAMTS20	4	-0.036482	-0.29207	0.99045	0.9989	0.77023	0.88217
SLC3A1	4	0.036715	0.33934	0.65404	0.96671	0.73436	0.86094
SNX2	4	-0.19551	-1.4056	0.42114	0.91462	0.15985	0.58307
HEXIM1	4	-0.39004	-2.1713	0.13002	0.69271	0.029912	0.58307
SMARCD2	4	-0.11817	-1.6756	0.65086	0.966	0.093809	0.58307
FAM26F	4	0.11276	1.367	0.32801	0.87718	0.17163	0.58307
C1QTNF9B	4	-0.11866	-1.0143	0.64916	0.966	0.31042	0.63829
ARMCX1	4	-0.24708	-0.42334	0.31036	0.86586	0.67205	0.82215
PPAN	4	-1.2178	-2.9469	0.00044749	0.031579	0.0032099	0.37232
G6PC3	4	-0.34736	-1.7718	0.16786	0.74869	0.076434	0.58307
GTF2H3	4	-0.59462	-2.1654	0.034556	0.38419	0.030359	0.58307
FAM92A1	4	0.05625	0.54022	0.56185	0.95665	0.58904	0.77148
C9orf78	4	-0.073345	-0.62234	0.82384	0.98511	0.53372	0.7481
PIM1	4	-0.040064	-0.3903	0.97395	0.9973	0.69631	0.83833
CENPC	4	-0.35737	-1.0694	0.15866	0.73838	0.28488	0.62425
COL17A1	4	-0.044087	-0.16736	0.955	0.99611	0.86709	0.93386
TOR1A	4	-0.13395	-0.6169	0.59671	0.96217	0.5373	0.74866
FAM218A	4	0.1004	0.91876	0.3747	0.89727	0.35822	0.67305
BRI3BP	4	0.12382	0.73415	0.29117	0.85564	0.46286	0.73679
C2orf71	4	0.03245	0.60819	0.67517	0.96889	0.54306	0.75018
UHRF1BP1L	4	0.076918	0.45662	0.46907	0.93231	0.64794	0.8073
ADRBK1	4	-0.08143	-0.67062	0.79142	0.98347	0.50246	0.74686
SPCS1	4	-0.045711	-0.43945	0.94839	0.99568	0.66034	0.8146
GAGE2D	4	-0.27292	-1.8183	0.26551	0.83715	0.06902	0.58307
DIRAS1	4	0.091365	0.75708	0.40881	0.91222	0.449	0.72902
BVES	4	0.16794	1.5283	0.16791	0.74869	0.12644	0.58307
FLG2	4	0.025998	0.24564	0.70654	0.97624	0.80596	0.90278
ALS2CR12	4	0.21059	1.4285	0.087212	0.59077	0.15315	0.58307
SLC2A11	4	-0.034168	-0.40972	0.99915	0.99975	0.68201	0.82975
LSM5	4	-0.4858	-1.1878	0.07145	0.54358	0.2349	0.59817
SCN3B	4	0.23252	1.0717	0.061008	0.5091	0.28384	0.62334
EFNA1	4	0.22468	1.5086	0.069212	0.53659	0.13141	0.58307
KLRC1	4	-0.049928	-0.40184	0.92875	0.99381	0.68781	0.83292
ADPRHL1	4	0.12213	0.91715	0.29624	0.85733	0.35906	0.67339
OSBPL3	4	-0.14814	-0.89835	0.55151	0.95638	0.369	0.67989
BHLHE41	4	0.030409	0.22506	0.68496	0.97098	0.82193	0.91097
TRPM5	4	0.18919	0.91959	0.12401	0.68554	0.35779	0.67269
LMBRD1	4	0.051411	0.7304	0.58323	0.96086	0.46514	0.73801
PTGDS	4	-0.004312	-0.064666	0.857	0.98974	0.94844	0.97446
PLIN3	4	0.026963	0.29317	0.70157	0.97591	0.76939	0.88178
SEMA3B	4	0.01941	0.20999	0.74016	0.98072	0.83368	0.91562
FABP6	4	0.087061	0.7953	0.42582	0.91661	0.42644	0.71466
LIMA1	4	-0.0036768	-0.043351	0.85437	0.98974	0.96542	0.98266
CHID1	4	0.13587	0.82223	0.25268	0.82648	0.41094	0.70544
RESP18	4	-0.027022	-0.41968	0.9647	0.99611	0.67472	0.82427
CSNK1E	4	-0.17197	-0.84057	0.48155	0.93509	0.40059	0.69912
MED30	4	-2.0306	-3.1046	0	0	0.0019054	0.36927
TAF15	4	-0.13683	-0.66177	0.58666	0.96091	0.50812	0.74702
GFI1	4	0.044971	0.29844	0.61302	0.96355	0.76537	0.87925
TAS2R30	4	-0.088337	-0.87116	0.76442	0.9827	0.38367	0.68871
CHD6	4	0.0019729	0.12157	0.82687	0.98514	0.90324	0.9517
WDFY4	4	0.035052	0.34587	0.66204	0.96836	0.72944	0.85839
CHRNA1	4	0.094097	1.44	0.39921	0.90753	0.14987	0.58307
ANAPC5	4	-0.74199	-1.6512	0.01248	0.22943	0.098691	0.58307
CDCP1	4	0.16932	0.98072	0.16498	0.74528	0.32673	0.64913
HAUS8	4	-1.0333	-2.4678	0.0011933	0.04908	0.013596	0.55804
PDDC1	4	-0.059128	-0.6413	0.88629	0.99062	0.52133	0.74753
C11orf45	4	0.055786	0.57514	0.56339	0.95665	0.56519	0.75825
DLX3	4	-0.36313	-1.8046	0.15255	0.72753	0.071136	0.58307
AP1B1	4	-0.15429	-0.90655	0.53232	0.94997	0.36465	0.67648
VTN	4	-0.1869	-2.0095	0.44421	0.92715	0.044489	0.58307
APOBR	4	0.027391	0.35754	0.69953	0.97559	0.72069	0.85387
PPP2R5E	4	0.13819	1.5522	0.24567	0.82116	0.12062	0.58307
MPV17	4	0.10536	0.71773	0.35616	0.88748	0.47292	0.74183
GPR82	4	0.15174	1.6053	0.20739	0.79477	0.10842	0.58307
MAGEB17	4	0.17826	1.4191	0.14588	0.71718	0.15586	0.58307
CT47A11	4	0.16625	0.93649	0.17199	0.75212	0.34902	0.66673
KCNA10	4	0.10558	0.4229	0.35536	0.88748	0.67237	0.82231
MAD2L2	4	-0.40109	-1.4445	0.12132	0.68042	0.14859	0.58307
PPP4R4	4	-0.0018363	-0.023684	0.84621	0.98923	0.9811	0.99071
RPTOR	4	-0.76654	-2.3907	0.010044	0.19901	0.016816	0.58307
DAPK2	4	-0.12042	-1.1375	0.6423	0.96439	0.25535	0.60714
NIPAL3	4	0.23988	1.0374	0.053401	0.48075	0.29953	0.63083
CHCHD6	4	0.14079	1.5245	0.23727	0.81757	0.12738	0.58307
EDEM1	4	-0.063019	-0.49369	0.87062	0.99062	0.62153	0.79085
PTK6	4	-0.024624	-0.21797	0.95421	0.99611	0.82745	0.91273
CCDC179	4	0.12274	1.1208	0.2944	0.85694	0.26237	0.60975
ARL14EPL	4	0.090421	0.61061	0.41299	0.91279	0.54146	0.74942
TP53TG5	4	0.16329	1.2745	0.17875	0.75901	0.20247	0.58558
CSTA	4	-0.18962	-1.7568	0.43646	0.92285	0.078952	0.58307
FAM228A	4	0.1739	0.67546	0.15478	0.73144	0.49938	0.74686
SPDYE3	4	-0.52655	-1.6992	0.054545	0.48332	0.089282	0.58307
BIVM-ERCC5	4	-0.13033	-1.0427	0.60929	0.96315	0.29709	0.63042
SCYL3	4	-0.16671	-0.90062	0.49647	0.94025	0.36779	0.67906
PSMB7	4	-1.7135	-2.7251	0	0	0.0064291	0.45692
ALPK1	4	0.11144	1.4292	0.33269	0.88005	0.15295	0.58307
KHK	4	-0.097761	-0.83755	0.72782	0.98018	0.40228	0.70008
PAK1IP1	4	-1.1101	-2.5441	0.00074582	0.03886	0.010956	0.52717
GPR182	4	-0.068837	-0.72998	0.84477	0.98923	0.4654	0.73818
TRAF4	4	-0.067424	-0.78071	0.85014	0.98924	0.43497	0.72023
MKRN3	4	0.076653	0.80315	0.47007	0.93315	0.42189	0.71131
UBE2Z	4	-0.067851	-0.61504	0.84825	0.98923	0.53853	0.74901
PRR23D2	4	0.056765	0.30494	0.55932	0.95665	0.76041	0.87616
PON3	4	-0.10121	-1.3857	0.71375	0.97779	0.16584	0.58307
ZNF808	4	0.30069	1.3164	0.016657	0.26482	0.18804	0.58382
VSX2	4	-0.052678	-0.43771	0.91537	0.99267	0.66159	0.81492
SPINK7	4	0.040523	0.71493	0.6342	0.96411	0.47465	0.7424
HIST1H1E	4	-0.44374	-2.2716	0.093526	0.61355	0.023109	0.58307
GPS2	4	-0.31832	-1.1715	0.20167	0.78681	0.24138	0.60125
ABCA7	4	-0.13519	-1.5656	0.59278	0.96217	0.11744	0.58307
KRT37	4	-0.065594	-0.95564	0.85854	0.98974	0.33925	0.65885
45175	4	-0.093152	-0.87112	0.74548	0.9817	0.38369	0.68871
CHGA	4	0.46073	1.288	0.00019889	0.0181	0.19775	0.58558
TMEM86A	4	-0.021513	-0.17683	0.93854	0.99437	0.85964	0.92982
FBXO40	4	-0.00054309	-0.0066691	0.84019	0.98773	0.99468	0.99766
ALDH1A2	4	0.022949	0.17761	0.72121	0.97822	0.85903	0.92946
POLN	4	0.043092	0.19645	0.62227	0.96355	0.84425	0.92179
PCDH11X	4	-0.14275	-1.5654	0.56752	0.95731	0.1175	0.58307
FZD3	4	0.16961	1.6684	0.16418	0.74381	0.095241	0.58307
WFDC11	4	0.21374	1.5652	0.082886	0.57611	0.11754	0.58307
EIF4A3	4	-1.5802	-2.6518	4.9722e-05	0.0063291	0.0080062	0.4806
DMRTA2	4	0.038348	0.22199	0.64464	0.96474	0.82432	0.91134
PALM3	4	-0.38145	-1.4477	0.13659	0.70077	0.14771	0.58307
LHX3	4	-0.082183	-0.89157	0.78888	0.98347	0.37262	0.68232
P2RY11	4	-0.1121	-0.64227	0.67412	0.96889	0.5207	0.74753
XKR5	4	0.12722	1.2509	0.27948	0.8481	0.21099	0.58595
SASS6	4	-0.88523	-2.46	0.003928	0.10807	0.013894	0.56166
C17orf70	4	-0.38858	-1.9971	0.13067	0.69271	0.045812	0.58307
PLD5	4	-0.065701	-0.36886	0.85795	0.98974	0.71223	0.8484
DDT	4	-0.12096	-1.4832	0.64096	0.96439	0.13803	0.58307
BOLL	4	-0.00243	-0.02133	0.849	0.98923	0.98298	0.99131
LRRC46	4	0.0050607	0.044759	0.80996	0.98434	0.9643	0.98192
RUFY3	4	0.067716	0.60056	0.5082	0.9442	0.54814	0.75188
HTR1B	4	-0.089349	-0.6836	0.76014	0.98228	0.49423	0.74686
CRH	4	0.051556	0.35519	0.58254	0.96086	0.72245	0.85425
HPGD	4	0.096564	0.88605	0.38887	0.90281	0.37559	0.68367
TMEM99	4	-0.41945	-1.7616	0.10849	0.65154	0.078143	0.58307
NUFIP2	4	-0.13195	-1.0998	0.60432	0.96315	0.27143	0.61579
SLC35G6	4	-0.14499	-0.73618	0.56071	0.95665	0.46162	0.73645
OSMR	4	-0.076466	-0.903	0.81175	0.98434	0.36653	0.67791
MPZL2	4	0.11932	0.92465	0.30564	0.86201	0.35515	0.67074
ZNF789	4	-0.20423	-1.2251	0.39867	0.90722	0.22054	0.59152
GYG1	4	0.030762	0.50755	0.68377	0.97092	0.61177	0.78444
MRPS24	4	-0.048076	-0.1852	0.9378	0.99437	0.85307	0.927
PTPRT	4	0.29893	1.4835	0.017353	0.27202	0.13795	0.58307
EN2	4	0.20505	0.82638	0.096112	0.62154	0.40859	0.70416
PTPRN2	4	0.077311	0.77267	0.46773	0.93231	0.43972	0.72358
ZNF746	4	-0.092995	-0.65889	0.74647	0.9817	0.50997	0.74739
ARAP1	4	0.33836	1.3422	0.0070605	0.1557	0.17952	0.58307
VPS41	4	0.11436	1.053	0.3221	0.87273	0.29235	0.62791
PRPSAP1	4	-0.1661	-1.1745	0.49761	0.94034	0.24019	0.60099
CDYL2	4	0.17538	1.1588	0.15145	0.72558	0.24652	0.6024
C12orf79	4	0.0092954	0.18837	0.79042	0.98347	0.85058	0.92555
CEP44	4	-0.0034333	-0.037197	0.85322	0.98951	0.97033	0.98529
TRIM31	4	0.10765	0.53972	0.34755	0.8851	0.58939	0.77154
CTBP1	4	0.001584	0.085499	0.82851	0.98517	0.93186	0.96706
BAZ1B	4	-0.13051	-0.82002	0.60879	0.96315	0.41221	0.70625
CXorf56	4	0.063455	0.30316	0.52779	0.94893	0.76177	0.8773
ERAL1	4	-0.24385	-1.6148	0.31633	0.86853	0.10636	0.58307
