sgRNA,Gene,DLD1-Ts4.initial,DLD1-Ts4.final,test2,test3,DLD1-Ts4.final_recalculate
MAK_PKc_E3_55.1,MAK,996,1678,682,682,682
TRIB1_PKc_E3_361.38,TRIB1,1067,1309,242,242,242
PRSS53_1662.27,PRSS53,1283,2082,799,799,799
KCTD3_BTB20112_E1_2448.8,KCTD3,853,1899,1046,1046,1046
TFDP1_E6_144.6,TFDP1,1325,1822,497,497,497
ZNF582_E5_663.50,ZNF582,2330,4671,2341,2341,2341
BMPR2_PKc_E10_137.6,BMPR2,995,2524,1529,1529,1529
USP4_150.10,USP4,580,956,376,376,376
KLF5_E4_78.9,KLF5,949,1614,665,665,665
RCOR2_SANT2_E10_58.0,RCOR2,1710,2290,580,580,580
PARK2_1398.149,PARK2,1151,1354,203,203,203
PSMB10_822.132,PSMB10,1402,2867,1465,1465,1465
SRC_PKc_E9_82.15,SRC,977,2185,1208,1208,1208
PRKRIR_E1_80.0,PRKRIR,1524,1906,382,382,382
TLL1_3042.279,TLL1,2022,4765,2743,2743,2743
EZH2_e16_96.8,EZH2,808,1700,892,892,892
ADAMTS18_3666.74,ADAMTS18,1310,2512,1202,1202,1202
USP1_2358.7,USP1,1463,2130,667,667,667
TRPS1_E6_102.4,TRPS1,2861,5843,2982,2982,2982
FBXO22_1212.72,FBXO22,1549,2875,1326,1326,1326
ZNF585B_E5_1839.141,ZNF585B,3341,6022,2681,2681,2681
FMR1_Agenet59117_E1_1899.173,FMR1,1619,4663,3044,3044,3044
ABHD12B_858.58,ABHD12B,1973,3689,1716,1716,1716
SHPRH_H_e27_179.9,SHPRH,1690,3139,1449,1449,1449
ASH1L_BD_e18_55.0,ASH1L,1895,3120,1225,1225,1225
ZNF554_E5_498.59,ZNF554,2215,3882,1667,1667,1667
TDRD3_tudor652700_E1_2235.103,TDRD3,1533,3290,1757,1757,1757
WDSUB1_1431.53,WDSUB1,1243,2313,1070,1070,1070
ZNF526_E3_963.98,ZNF526,1672,2540,868,868,868
TESK1_PKc_E5_83,TESK1,901,2033,1132,1132,1132
ZNF417_E3_567.28,ZNF417,1979,3413,1434,1434,1434
SUV39H2_e4_147.1,SUV39H2,3246,7933,4687,4687,4687
BRWD1_BD1_e32_126.1,BRWD1,807,1238,431,431,431
CLOCK_E7_149.4,CLOCK,904,2440,1536,1536,1536
ASB15_1767.136,ASB15,1783,5002,3219,3219,3219
NAALADL2_2388.136,NAALADL2,732,1306,574,574,574
TFEB_E8_76.6,TFEB,1553,3509,1956,1956,1956
PROX1_E4_195.9,PROX1,1098,1818,720,720,720
MBTPS2_1560.129,MBTPS2,1891,2185,294,294,294
ZNF234_E6_1245.128,ZNF234,4032,7102,3070,3070,3070
ZNF773_E4_663.19,ZNF773,1208,1738,530,530,530
UBE2C_240.27,UBE2C,1060,1604,544,544,544
FBXO38_2,FBXO38,1146,2565,1419,1419,1419
NIM1K_PKc_E4_414.1,NIM1K,1093,1820,727,727,727
KLK9_753.142,KLK9,2568,5985,3417,3417,3417
