Gene	sgRNA	1qDi|beta	1qDi|z	1qDi|p-value	1qDi|fdr	1qDi|wald-p-value	1qDi|wald-fdr
TSKU	4	0.12052	0.76669	0.44819	0.90853	0.44326	0.72063
CNTFR	4	0.12373	1.0337	0.43874	0.90426	0.30126	0.63171
WDR47	4	0.25152	0.77107	0.15906	0.69756	0.44067	0.71919
NFATC2IP	4	-0.14204	-1.0264	0.72255	0.97081	0.30468	0.63408
CST9L	4	-0.072575	-0.3821	0.92761	0.9935	0.70239	0.83846
EFHB	4	0.16223	0.80335	0.33557	0.85935	0.42177	0.70669
KCNN2	4	0.1546	0.61765	0.35466	0.87037	0.5368	0.75898
PPARG	4	0.43394	1.2158	0.019242	0.22995	0.22405	0.60307
CKAP5	4	-1.4096	-2.2618	0.001243	0.035063	0.023709	0.34249
TAF11	4	-0.13585	-1.1567	0.74115	0.97377	0.2474	0.60706
ESCO2	4	0.14597	1.015	0.37609	0.87872	0.31009	0.63683
MAPKAPK5	4	0.13341	1.0443	0.41179	0.89226	0.29635	0.62984
RFX7	4	0.02911	0.37816	0.741	0.97377	0.70532	0.84061
ASPH	4	0.31506	1.3458	0.082339	0.53368	0.17836	0.60247
HPS4	4	-0.13614	-0.88048	0.74006	0.97365	0.3786	0.67852
MOB1B	4	-0.11608	-1.1823	0.79888	0.9791	0.2371	0.6052
C1orf86	4	0.0099668	0.084192	0.80305	0.98016	0.9329	0.96809
ASB4	4	0.19519	1.5123	0.26163	0.82029	0.13046	0.60247
FRS3	4	0.26775	1.1319	0.13425	0.6559	0.25766	0.61075
LCN12	4	-0.0051826	-0.031801	0.857	0.98654	0.97463	0.98927
ARMS2	4	-0.062417	-0.53678	0.95888	0.99784	0.59142	0.77163
KIAA0232	4	0.044974	0.71147	0.68785	0.9643	0.4768	0.74008
ICMT	4	-0.90297	-2.6014	0.021679	0.24717	0.0092836	0.20383
DNAJC2	4	-0.35419	-1.7391	0.31031	0.84732	0.082018	0.60247
RASGEF1C	4	0.027658	0.19325	0.74557	0.97377	0.84677	0.92179
COX15	4	-0.64892	-1.4115	0.07677	0.5143	0.15809	0.60247
GEMIN2	4	-1.1111	-3.0043	0.0075577	0.12656	0.0026619	0.10063
RNF7	4	-0.17559	-0.74836	0.63763	0.9574	0.45424	0.72689
ZNF230	4	-0.13289	-0.76187	0.74995	0.97377	0.44614	0.72255
