75147715	GTF2IRD2B	881	2422
159018299	IFI16	1168	4090
75391171	GLIPR1L2	312	1595
39868549	ZPBP2	172	802
19980710	WDR35	653	2422
3323964	SLC22A23	547	1465
58404500	GINS3	250	572
105049244	MRPS9	871	2352
147644870	JAKMIP2	1064	3316
8515271	CLEC4D	353	1735
57529720	MSI2	1047	3620
232540057	CHRNG	968	3377
139911317	TBXAS1	1023	2609
125816220	UROS	1076	3260
29799325	KIF22	407	1143
77753290	SLAIN1	700	1726
10495000	AMPD3	747	2889
101897916	ZMAT1	454	1743
135701708	SLC13A4	757	2514
134393948	PHF6	885	3030
123548562	TRDN	671	2920
47232858	DDB2	604	2333
227112907	CDC42BPA	437	1740
101783297	NPM3	548	1603
72470025	RGS6	293	1012
69386404	RAD17	870	1835
103321937	DNAJC2	509	316
153374571	S100A12	655	2563
154959466	PYGO2	356	1521
130981884	ADGRD1	295	1362
24872882	FAM65B	503	1437
93215237	UBR7	746	2516
67228372	TMEM208	525	1403
19933892	EFHB	743	3118
85077532	KIAA0513	449	1346
79082870	BHMT2	858	2410
134206098	PPP2CA	772	3937
16568121	SLC35E1	260	1134
52681827	TMEM14A	531	1569
53576902	ZNF331	819	4047
56525050	ZNF471	321	1012
1652470	CDK11B	199	320
130412409	RBMX2	733	2576
118176388	SCN2B	183	767
57253127	ZNF805	901	3858
77801504	FAM73A	378	1350
76990570	ACER3	294	715
11616949	ZNF627	1539	4119
54214405	PFDN4	780	2177
28233162	HERC2	921	3774
128341422	EEFSEC	386	1264
31837432	C6orf48	738	3154
17703204	SMC6	434	1239
36125903	DCLK1	862	3434
38684414	GLO1	485	1735
4859926	UBN1	740	2723
185672635	IGF2BP2	908	3586
52030159	UTP14C	710	2917
14438235	ATF7IP	1229	3139
65172520	SPDYC	400	1420
79064445	RASGRF1	655	2724
36548166	ZNF529	694	3100
630957	SHOX	409	1146
98154834	LMTK2	718	2818
1442197	MICALL2	958	3533
27055591	BBOX1	335	1089
30474827	RBPMS	183	760
15650738	TUSC3	290	1081
9522202	RALBP1	335	1386
193647116	OPA1	957	1444
