Gene	sgRNA	7qDi|beta	7qDi|z	7qDi|p-value	7qDi|fdr	7qDi|wald-p-value	7qDi|wald-fdr
RFTN1	4	0.18159	1.6371	0.023168	0.28519	0.1016	0.51558
PSMB8	4	-0.16667	-1.3967	0.43467	0.9346	0.16251	0.51558
CXorf58	4	0.027649	0.61025	0.60028	0.9627	0.5417	0.71976
ZSCAN20	4	-0.076249	-0.90266	0.74167	0.97671	0.3667	0.63479
PPM1L	4	0.0608	0.95656	0.38585	0.92102	0.33879	0.6148
FUT2	4	0.10859	1.2508	0.16272	0.7516	0.211	0.53111
AGO3	4	0.058112	0.79194	0.40146	0.92391	0.4284	0.68203
SERPINB4	4	0.061126	1.1206	0.38371	0.91989	0.26245	0.56409
TDP2	4	0.038719	0.88413	0.52401	0.95038	0.37662	0.64193
STEAP1	4	0.11551	1.4652	0.1401	0.7136	0.14287	0.51558
