sgRNA,Gene,Vaco_Ts13_D0,Vaco_Ts13_D10
102350027,BIRC2,1205,1179
102350575,BIRC2,1098,1020
102350282,BIRC2,1096,1090
102350385,BIRC2,1316,1003
102324874,BIRC3,1577,1905
102325312,BIRC3,858,718
102325552,BIRC3,556,631
102325001,BIRC3,534,658
123885847,XIAP,335,437
123886501,XIAP,841,1087
123886125,XIAP,1277,1058
123886302,XIAP,1161,975
78214356,BIRC5,487,418
78214714,BIRC5,691,60
78216685,BIRC5,275,217
78214422,BIRC5,875,277
35871326,APLP1,861,699
35873697,APLP1,1189,1377
35874766,APLP1,2168,2299
35872554,APLP1,1619,1117
130130044,APLP2,1331,1105
130126826,APLP2,525,490
130121667,APLP2,641,443
130110608,APLP2,726,683
116837032,APOA1,422,584
116836395,APOA1,903,898
116837080,APOA1,292,308
116836161,APOA1,518,497
161223018,APOA2,2010,1621
