Gene	sgRNA	Ts3|beta	Ts3|z	Ts3|p-value	Ts3|fdr	Ts3|wald-p-value	Ts3|wald-fdr
ADAM11	6	-0.27217	-1.6938	0.31047	0.66363	0.09031	0.28649
RHBDF1	6	-0.37184	-2.4585	0.16932	0.49916	0.013951	0.12901
POU2F2	6	-0.11967	-1.0058	0.74189	0.90741	0.31452	0.51334
HAND1	6	-0.21155	-1.4554	0.45105	0.77355	0.14555	0.34166
TADA2A	11	-0.25286	-2.6833	0.22453	0.57681	0.0072905	0.087043
RUNX1	7	-0.0042001	-0.049654	0.74388	0.9089	0.9604	0.98049
ADAMTS6	6	0.12084	1.3892	0.2786	0.63407	0.16477	0.36149
ZNF787	6	0.24535	1.7903	0.04724	0.24556	0.073409	0.27607
PRKD2	6	0.038479	0.37556	0.5848	0.84383	0.70724	0.81752
CERS5	6	0.1392	1.4144	0.23164	0.58226	0.15726	0.35446
SMARCA1	6	0.46371	1.6841	0.00085373	0.014019	0.092171	0.28867
ZBTB11	13	-0.65228	-3.3106	0.00028458	0.0052083	0.0009309	0.019032
TRERF1	14	-0.054746	-0.56712	0.94052	0.98451	0.57063	0.72364
SP100	11	0.1588	1.9772	0.06716	0.30102	0.048024	0.25484
HOXB9	6	-0.41306	-1.9186	0.1255	0.42913	0.055034	0.26675
CHD9	11	0.07679	1.3351	0.26693	0.61898	0.18184	0.38309
RNF157	7	-0.34522	-2.2926	0.15879	0.48649	0.021873	0.16893
SPOP	6	-0.095621	-0.53323	0.8395	0.951	0.59388	0.73327
USF1	8	-0.16775	-1.7843	0.53386	0.81636	0.074382	0.27607
GABPA	7	-0.47581	-2.5076	0.058054	0.27793	0.012156	0.12033
ZZZ3	12	-1.1287	-4.3288	0	0	1.4993e-05	0.00089298
MXD1	6	0.068206	1.0858	0.46784	0.78445	0.27757	0.48025
SIX1	6	-0.063625	-0.711	0.97638	0.99306	0.47709	0.66369
ZNF189	6	0.22989	1.594	0.06033	0.28418	0.11093	0.30567
RNF214	7	-0.049423	-0.81479	0.96727	0.99155	0.41519	0.60565
FBXL2	17	0.012226	0.25029	0.4502	0.77322	0.80236	0.88422
ZNF71	6	0.16412	1.2807	0.16591	0.49323	0.20029	0.40357
FOXR1	6	0.074094	0.59631	0.44622	0.77228	0.55097	0.71206
FBXL14	20	-0.19488	-2.1755	0.26323	0.61585	0.029594	0.20318
TRIM67	12	0.048564	0.56255	0.37592	0.72822	0.57374	0.72379
RNF13	9	0.15508	1.5068	0.098748	0.37676	0.13187	0.32928
HOXB3	6	-0.25227	-1.7675	0.356	0.70935	0.077142	0.27804
ZNF292	6	0.18257	1.6429	0.13062	0.43798	0.10041	0.29699
PRSS38	6	0.077789	0.93425	0.43341	0.76725	0.35017	0.54958
ASB15	16	0.15804	1.9701	0.021912	0.15619	0.048823	0.25645
ARID2	7	0.24089	1.6042	0.035572	0.20392	0.10867	0.30378
NFYB	6	-0.33602	-1.1674	0.21002	0.55976	0.24304	0.44691
NFE2L3	5	0.077022	0.98603	0.48293	0.78449	0.32412	0.52366
ZNF766	6	0.069826	1.0063	0.46272	0.78248	0.31428	0.51326
RNF6	8	-0.045721	-0.34032	0.92658	0.98339	0.73361	0.83752
CTRL	6	-0.14135	-1.1296	0.66534	0.87692	0.25864	0.46068
IRX5	6	0.19984	1.5398	0.09761	0.37486	0.12361	0.3201
TAF1	9	-0.83128	-2.8464	0.00028458	0.0052083	0.0044214	0.059757
ZNF544	6	-0.039546	-0.52401	0.92203	0.98095	0.60027	0.73771
DPP7	6	-0.14252	-1.0756	0.66363	0.87692	0.28211	0.48519
ZNF425	6	0.0044316	0.070091	0.73563	0.90486	0.94412	0.97149
ADAM29	5	0.13873	1.2506	0.26949	0.62327	0.21106	0.41457
PRDM14	5	0.0032204	0.033172	0.76693	0.92137	0.97354	0.98845
MORF	6	0.15857	1.1988	0.18071	0.51292	0.23059	0.43223
TCF7L1	6	-0.56668	-2.04	0.045532	0.24242	0.041347	0.23936
ZFP82	6	0.18752	1.6447	0.11952	0.41584	0.10002	0.29694
ZNF33A	6	0.083099	1.2162	0.41264	0.75091	0.2239	0.42621
