sgRNA	Gene	Cont1.initial	Cont1.final
30744104	ALOX5AP	1745	2475
72375773	HEXA	773	493
181005437	STX6	976	928
32263137	MTMR12	2156	1992
19712830	ZNF14	1045	1000
1787701	NUBP2	1594	1721
49607624	LRR1	895	140
77883332	MRPL1	1231	1088
157806015	CLINT1	1412	1309
8059337	C3AR1	1609	1541
116600118	PNLIPRP1	457	561
185143385	TRMT1L	1317	1566
28960695	LTN1	1066	983
185432184	C4orf47	1204	1343
140655836	IK	2212	715
24318620	OSBPL1A	1422	1162
10756825	CTR9	1479	461
45035545	CLEC3B	1226	1370
112537838	ATG3	1952	1885
59355597	LMAN1	816	971
50302084	L2HGDH	828	1076
49682255	PRMT1	2426	1135
190098872	BRINP3	969	975
12821493	LURAP1L	796	971
62667580	LBHD1	1035	930
31302187	CDH6	1124	1680
130763176	AMER3	1363	923
160394979	ZBED8	938	705
173840964	DARS2	1739	1004
58793611	BICC1	1922	2533
164915927	SLC38A11	1738	1811
130522106	CFC1B	661	983
35777905	ARHGAP33	792	856
25128562	LCMT1	687	627
1827287	REXO1	2605	1892
112445208	ZDHHC6	1364	1276
991150	SLC26A1	940	1255
90879877	FURIN	1050	699
176156102	WDR17	353	528
21162898	KIZ	500	763
4796291	PSMB6	701	242
37568171	CDC42EP1	870	756
39374540	SYNGR1	1077	996
55903387	WIBG	1286	1619
87625752	KLHL4	2167	2567
150753535	DCTN4	2077	2471
109007079	MORC1	915	1245
174231252	RABGAP1L	1487	1631
74581757	M1AP	1284	807
70300885	FAM136A	1288	1055
56525228	ZNF471	520	623
11444090	FAM167A	1806	3059
6241778	IL33	562	729
26862424	AQP4	893	874
NA	Non-Targeting_Control-N15	1574	2255
