sgRNA,Gene,DLD1-Ts8.initial,DLD1-Ts8.final
RAX2_E2_135.13,RAX2,2523,2661
IRF2BP1_1755.214,IRF2BP1,1983,1506
TRIM49B_1359.92,TRIM49B,1675,854
PHF10_Phd_E10_88.0,PHF10,2395,3114
RNF223_750.149,RNF223,2047,1967
BRD2_BD2_e6_145.7,BRD2,2232,555
KLK2_786.109,KLK2,1975,1736
BMPR2_PKc_E7_115.4,BMPR2,1733,2193
KMT2B_Phd3_E16_183.35,KMT2B,664,527
RNF19B_1764.188,RNF19B,2660,2907
EVX1_E2_135.14,EVX1,1777,1369
ZNF793_E8_600.56,ZNF793,4047,4694
UBE4B_3909.308,UBE4B,1162,890
ATRX_D_e19_178.6,ATRX,2517,1980
CHD3_D_e14_79.5,CHD3,2437,2890
F7_1401.21,F7,1462,1478
CASP6_882.68,CASP6,1025,528
MTA1_Bah3188_E1_2148.39,MTA1,1213,1857
MALT1_2475.89,MALT1,1544,1484
TNFAIP3_2373.24,TNFAIP3,2334,2507
SFMBT1_MBT131232_E1_2601.37,SFMBT1,4075,3477
PEPD_1482.189,PEPD,2427,1970
Nr1h4_E2_76.8,Nr1h4,3824,5288
HMGB1_E3_146.2,HMGB1,2319,6162
LAP3_1560.23,LAP3,932,1273
UBE2NL_462.21,UBE2NL,2435,3193
RNF139_1995.95,RNF139,3434,3435
KMT2C_Phd4_E18_105.4,KMT2C,797,222
CDK9_e4.2,CDK9,8634,868
ZNF354A_E5_1209.34,ZNF354A,3283,4030
CDKL3_PKc_E6_140.5,CDKL3,1029,1241
MMP15_2010.366,MMP15,2538,2877
RNF135_1299.6,RNF135,2340,2231
KDM4C_tudor935990_E1_3171.165,KDM4C,2658,2804
YME1L1_2322.94,YME1L1,3466,1575
SP110_Phd_E15_101.7,SP110,2527,2950
CERS6_E2_39.0,CERS6,5301,6804
TRIM51_1359.29,TRIM51,2352,2067
TRIM24_3153.299,TRIM24,1578,1554
UBP1_E4_106.4,UBP1,624,257
CDX1_E2_126.17,CDX1,978,1559
NPR1_PKc_E10_78,NPR1,1342,1533
KLHL15_BTB32128_E1_1815.12,KLHL15,969,1442
ZNF148_E6_67.0,ZNF148,4952,5628
SETDB1_tudor257317_E1_3876.56,SETDB1,2740,2631
SETD1B_e17_118.2,SETD1B,5421,5853
RCBTB1_BTB371467_E1_1596.94,RCBTB1,3444,4135
FBXO9_1344.24,FBXO9,1616,1364
TRIM9_2133.363,TRIM9,3040,4207
BSX_E2_129.11,BSX,932,1326
HAND2_E1_177.20,HAND2,944,1321
USP51_2136.132,USP51,3090,4172
NEURL2_858.72,NEURL2,1123,1401
RFX3_E7_182.13,RFX3,3072,4750
EPHA4_PKc_E14_210.8,EPHA4,938,1423
ZNF710_E2_450.11,ZNF710,3649,5276
COMMD3_588.13,COMMD3,1521,1172
BTBD7_BTB268397_E1_3399.51,BTBD7,2436,2461
MAFA_E1_273.9,MAFA,3168,2758
RNF145_2082.147,RNF145,1253,601
TRIM21_1428.166,TRIM21,1762,2358
