sgRNA,Gene,DLD1-Cont2_P10.initial,DLD1-Cont2_P10.final
ADAMTS4_2514.456,ADAMTS4,1458,808
CIC_E6_171.6,CIC,2350,1530
UTY_e25_115.4,UTY,8142,4230
HDAC8_e3_131.7,HDAC8,4254,2239
SUB1_E5_47.1,SUB1,1184,911
SMN1_Tudor_E5_201.4,SMN1,2282,985
FBXW9_15,FBXW9,2056,1211
ZNF582_E5_663.39,ZNF582,3018,1460
ANAPC10_2,ANAPC10,2252,1240
RNF112_1896.385,RNF112,2908,1654
ASB10_1404.247,ASB10,1822,1339
UBE2J2_828.128,UBE2J2,1422,430
CUL9_7554.837,CUL9,984,327
ZNF304_E4_1068.94,ZNF304,2522,1230
PHF7_1146.110,PHF7,1400,726
TRIM13_1224.106,TRIM13,2012,843
SPPL2B_1779.345,SPPL2B,2114,1096
ZNF740_E6_119.3,ZNF740,10408,7066
BTBD1_BTB62175_E1_1449.42,BTBD1,2302,1663
PRKCZ_PKc_E10_98.3,PRKCZ,2192,1294
ZBTB43_E3_216.3,ZBTB43,3916,1678
FBXL18_2157.376,FBXL18,2560,1189
STAT6_E12_93.8,STAT6,6054,4295
DCAF17_1362.103,DCAF17,3412,2278
KCTD8_BTB46143_E1_1422.35,KCTD8,1332,520
XIAP_3,XIAP,1840,803
JUNB_E1_162.21,JUNB,1128,1012
TRIM6-TRIM34_2529.17,TRIM6-TRIM34,4286,2183
TRIM6_1551.17,TRIM6,4286,2183
CBL_2721.248,CBL,5134,2849
CUL4A_2280.31,CUL4A,3170,1348
PhIP_BD1_e32_126.5,PhIP,3544,1616
STAT5A_E12_93.9,STAT5A,3926,2277
ZNF556_E4_492.21,ZNF556,4488,2729
HELLS_D_e9_190.7,HELLS,3854,2018
CAMK2B_PKc_E6_73.6,CAMK2B,2514,1421
ZNF302_E6_495.26,ZNF302,2516,1436
MID1_2004.236,MID1,2718,1401
RXRG_E4_180.4,RXRG,1558,626
ZNF225_E5_1635.25,ZNF225,5384,3899
DAPK1_PKc_E2_44.1,DAPK1,1920,1024
ATF6_E8_162.9,ATF6,3976,1771
ZNF782_E6_1062.1,ZNF782,4794,2591
C1R_2118.175,C1R,1132,713
ZNF74_E5_915.57,ZNF74,1302,574
KCND1_BTB42131_E1_1944.35,KCND1,2658,977
NTRK3_PKc_E15_123,NTRK3,2122,1317
TRIM36_2187.183,TRIM36,5122,2219
DNMT3B_PWWP223309_E1_2562.342,DNMT3B,950,547
AGA_1041.86,AGA,3398,1285
SIAH1_942.79,SIAH1,4198,1512
PhIP_BD1_e30_86.1,PhIP,4148,1499
PHIP_5466.190,PHIP,4148,1499
CHD1L_H_e11_74.2,CHD1L,2592,1469
neg49,neg49,10466,4409
RNF34_1122.64,RNF34,1046,566
SETMAR_e2_380.5,SETMAR,2956,1299
DTX3L_2223.99,DTX3L,724,459
ERCC6_H_e13_105.0,ERCC6,3072,1608
IKZF5_E5_187.11,IKZF5,2326,972
ECT2L_2715.251,ECT2L,1456,471
BAZ1B_Phd_E15_113.2,BAZ1B,1586,929
NRF1_E5_141.8,NRF1,2398,974
BRD3_BD2_e7_129.3,BRD3,3912,1909
USP17L15_1680.151,USP17L15,3432,1559
HOXB3_E4_177.12,HOXB3,2052,1400
FGR_PKc_E10_77.7,FGR,2718,1577
DDB1_3423.475,DDB1,974,578
KCNA10_BTB88179_E1_1536.29,KCNA10,832,420
ANAPC5_2268.82,ANAPC5,1648,1093
KDM4A_ePhd_E16_53.4,KDM4A,2036,873
PRSS53_1662.325,PRSS53,2354,1535
PRSS53_825.103,PRSS53,2354,1535
ZNF460_E3_999.105,ZNF460,2878,1335
KMT2A_BD_e17_111.4,KMT2A,2610,1436
PRMT1_e4_73.7,PRMT1,1122,491
TRIM40_777.108,TRIM40,1250,456
KDM7A_e6_187.7,KDM7A,2600,1201
AKTIP_8,AKTIP,3654,2449
USP18_1119.135,USP18,2842,1808
ZNF251_E5_1287.112,ZNF251,5028,3655
MAP2K7_PKc_E5_114.12,MAP2K7,2112,1223
ZNF276_E2_231.25,ZNF276,1960,1172
HSF4_E4_109.8,HSF4,1864,965
CUL4B_2742.48,CUL4B,2666,1334
GATAD2B_E8_203.16,GATAD2B,2576,1342
KDM5D_e15_118.1,KDM5D,5546,3330
KLK8_134.1,KLK8,3382,1905
KDM5A_e12_163.5,KDM5A,5678,4098
ANAPC5_2268.41,ANAPC5,3660,1738
KDM5A_Phd3_E28_204.0,KDM5A,986,482
ZNF155_E5_750.59,ZNF155,2428,1194
IVNS1ABP_BTB22126_E1_1929.1,IVNS1ABP,1442,674
UBE2V1_513.26,UBE2V1,2384,1465
CTRB1_792.75,CTRB1,2034,1056
PRKRIR_E1_80.9,PRKRIR,2318,1098
TGFBR2_PKc_E8_102.12,TGFBR2,2282,1600
HLTF_3030.169,HLTF,2596,1181
MMP21_1710.74,MMP21,1308,988
ZNF200_E5_240.12,ZNF200,2000,883
ZNF677_E5_903.12,ZNF677,5168,2500
ZNF534_E4_1170.83,ZNF534,1262,499
MARCH7_2001.91,MARCH7,3230,1469
ZNF530_E3_1005.13,ZNF530,4910,2482
PTK7_PKc_E18_152.17,PTK7,442,144
PHF19_Phd1_E5_86.9,PHF19,2542,2198
FOS_E3_75.1,FOS,1592,927
KDM1B_e13_75.2,KDM1B,6082,3545
ZNF816_E5_999.43,ZNF816,8672,4632
KDM4A_tudor9601004_E1_3195.227,KDM4A,2380,1512
UBE2E3_624.10,UBE2E3,4766,2687
LTA4H_1836.192,LTA4H,2556,1099
HMX2_E2_174.21,HMX2,5326,2390
ZIC1_E1_157.1,ZIC1,4840,4182
PRMT5_e12_106.10,PRMT5,3594,2498
HM13_1281.181,HM13,1704,1636
JARID2_E17_108.3,JARID2,2578,1216
RAG1_3132.353,RAG1,2842,1418
PLK2_PKc_E4_130.5,PLK2,688,286
MAP3K9_PKc_E2_412.14,MAP3K9,1236,831
MAFA_E1_273.9,MAFA,3572,1774
MMP24_1938.66,MMP24,2930,1475
DOT1L_e7_63.4,DOT1L,3566,1259
FBXW5_1701.238,FBXW5,510,310
IKZF2_E5_168.5,IKZF2,3300,1474
