sgRNA,Gene,DLD1-Cont2_P10.initial,DLD1-Cont2_P10.final
PLAGL1_E7_67.4,PLAGL1,2552,1114
SP2_E7_80.4,SP2,4100,1477
KMT2D_e51_74.0,KMT2D,2440,1902
ANAPC1_10,ANAPC1,542,173
RNF186_684.112,RNF186,3774,2035
ZNF468_E4_750.15,ZNF468,2796,1066
BRD2_BD1_e3_138.3,BRD2,4680,1928
FBXL7_1476.30,FBXL7,2884,1891
PIK3R4_PKc_E3_134.5,PIK3R4,1060,368
ZNF136_E4_1110.75,ZNF136,3758,1973
ONECUT1_E2_165.13,ONECUT1,4568,2705
BRD4_BD1_e2_121.9,BRD4,3240,1518
KDM5D_e13_79.1,KDM5D,4710,2319
ZNF583_E5_1056.60,ZNF583,3290,1530
MATK_PKc_E11_74.3,MATK,1280,651
CELA1_777.5,CELA1,2102,1015
NSD3_e20_117.2,NSD3,2638,1521
BRDT_BD1_e4_68.0,BRDT,4376,2265
USP45_2445.94,USP45,5346,3440
BAZ1A_BD_e27_135.4,BAZ1A,5870,2837
TRIM63_1062.5,TRIM63,1580,687
ZBTB41_BTB77173_E1_2730.16,ZBTB41,2702,1711
MARCH9_1041.72,MARCH9,1316,552
PDK3_PKc_E1_34.1,PDK3,2566,1001
TULP2_E12_172.1,TULP2,6700,4148
ZBTB8A_E4_144.14,ZBTB8A,4490,3263
MTA1_SANT_E11_57.0,MTA1,4410,3034
SOX6_E14_107.6,SOX6,2652,984
CNBP_540.22,CNBP,1800,850
LCORL_E7_876.50,LCORL,5462,2644
KCNV2_BTB99190_E1_1638.43,KCNV2,1440,562
NCOA2_e20_178.17,NCOA2,3964,2330
JARID2_E17_108.4,JARID2,2754,1442
UBE2E1_582.29,UBE2E1,1760,724
CDK2_PKc_E4_171.1,CDK2,1260,732
neg24,neg24,5374,2779
PBX4_E5_136.0,PBX4,742,257
UBE2E2_606.37,UBE2E2,4922,2957
ASB9_885.41,ASB9,2008,1061
G2E3_1983.48,G2E3,836,344
HIVEP2_E7_172.2,HIVEP2,4826,2918
ZNF45_E10_1548.70,ZNF45,778,369
CDK1_e5.1,CDK1,4352,1480
SIRT6_e4_60.2,SIRT6,2190,1453
SNAI1_E3_133.16,SNAI1,2998,1498
SPSB2_792.107,SPSB2,1662,859
ANKIB1_3270.274,ANKIB1,3164,1521
FBXO7_1569.174,FBXO7,4724,3429
ADAM23_2499.5,ADAM23,3696,1847
ZFP30_E6_1074.76,ZFP30,4290,2398
CDY2A_Chromo_E1_159.10,CDY2A,4446,1533
NFIC_E5_124.15,NFIC,2372,1572
ZNF491_E3_1176.57,ZNF491,5398,2599
KLF2_E2_75.2,KLF2,4072,2356
SOX11_E1_216.10,SOX11,1826,941
TTN_PKc_E358_736.2,TTN,2100,941
neg31,neg31,9126,4423
USP17L24_885.18,USP17L24,11490,6563
USP17L25_885.18,USP17L25,11490,6563
USP17L26_885.18,USP17L26,11490,6563
USP17L5_885.18,USP17L5,11490,6563
SENP8_639.7,SENP8,4538,2287
IRF2_E2_75.8,IRF2,1346,773
KDM6A_e25_115.8,KDM6A,3238,1954
BACE2_1557.33,BACE2,3770,2134
MNT_E4_112.5,MNT,2878,1491
HDGF_PWWP40108_E1_771.21,HDGF,1876,751
UBE2S_2,UBE2S,1022,739
HNF4A_E2_113.5,HNF4A,2242,972
ANPEP_2904.421,ANPEP,2812,2020
TFAP2B_E7_217.5,TFAP2B,3756,2474
REPIN1_E4_1524.171,REPIN1,1078,774
UBE2N_459.23,UBE2N,2074,816
CASP4_966.7,CASP4,2844,1507
ZKSCAN3_E7_573.15,ZKSCAN3,4586,2342
ZNF212_E5_66.2,ZNF212,5270,2556
GRHL1_E5_77.7,GRHL1,3302,1705
PBX4_E5_136.12,PBX4,3142,1538
STK32A_PKc_E7_90.4,STK32A,1654,772
NR1I3_E2_77.1,NR1I3,3880,2030
MTF2_tudor4595_E1_1782.15,MTF2,2358,1368
TWIST2_Ex_176.15,TWIST2,1460,872
ZNF227_E6_1557.100,ZNF227,4090,2180
ZNF212_E5_66.0,ZNF212,5272,2531
WT1_E8_90.0,WT1,5068,3074
KDM6A_e25_115.7,KDM6A,4562,1808
LCOR_E8_132.11,LCOR,7916,4889
NEURL2_858.175,NEURL2,1906,1487
PSMB2_606.18,PSMB2,2774,1507
CUL7_5349.545,CUL7,3224,2552
NSD1_Phd4_E15_98.0,NSD1,2344,827
RNF175_987.81,RNF175,3266,1916
ITCH_2259.185,ITCH,2532,1267
ZNF410_E9_90.2,ZNF410,2066,847
TDRD9_tudor949996_E1_4149.337,TDRD9,1868,697
PRSS22_954.166,PRSS22,2572,1172
HIPK4_PKc_E3_219.24,HIPK4,1460,760
PJA1_1368.113,PJA1,2932,1860
USP29_2769.61,USP29,5288,2461
CUX1_E23_155.12,CUX1,2398,1091
KDM4C_e8_96.5,KDM4C,5828,2624
MSL3_Chromo_E2_83.4,MSL3,2806,862
ZNF219_E4_63.1,ZNF219,4114,2524
ZNF701_E5_795.30,ZNF701,5576,2841
ANAPC7_1800.69,ANAPC7,2300,1165
KCNV2_BTB99190_E1_1638.41,KCNV2,2890,1955
ZNF740_E6_119.4,ZNF740,7434,5306
TBX3_E7_134.15,TBX3,298,242
RHOBTB2_BTB523615_E1_2250.258,RHOBTB2,678,396
ZBTB26_BTB23123_E1_1326.14,ZBTB26,1906,1563
ZNF540_E5_1251.35,ZNF540,2738,2196
EN1_E2_180.18,EN1,4484,3485
TMPRSS11D_1257.72,TMPRSS11D,3214,2132
ZNF169_E5_1002.76,ZNF169,2630,1251
ZCWPW2_CW3078_E1_1071.4,ZCWPW2,2328,815
TESK2_PKc_E7_85.7,TESK2,524,461
MMP10_1431.35,MMP10,3574,1913
FBXL2_1272.149,FBXL2,2772,1057
CHD2_Chromo_E10_101.1,CHD2,2850,1289
RPL9_e3.2,RPL9,11778,5651
ZNF112_E5_1077.95,ZNF112,728,433
HSFY2_E1_279.6,HSFY2,6050,3368
ZNF331_E7_993.91,ZNF331,5982,2960
KDM2B_13,KDM2B,2132,1367
EPHB4_PKc_E15_150.34,EPHB4,1908,1007
EZH1_e20_85.2,EZH1,3122,1787
KLHL8_BTB57163_E1_1863.164,KLHL8,1522,761
MIB2_3213.84,MIB2,424,94
ATAD2B_BD_e22_160.8,ATAD2B,4576,3038
USP8_3357.149,USP8,1752,605
IMMP2L_528.19,IMMP2L,3044,1474
DRGX_E3_33.1,DRGX,2104,938
PITX2_E3_42.0,PITX2,5572,2561
MYRF_E10_111.6,MYRF,7020,3860
HOXA2_E2_174.15,HOXA2,2364,1105
ADAMTS14_3681.674,ADAMTS14,3402,1782
SPIN4_Spinlin201245_E1_750.44,SPIN4,1550,1083
FBXO39_1,FBXO39,2490,1266
RFPL1_954.118,RFPL1,2098,1715
ZNF417_E3_567.8,ZNF417,2184,1209
SENP1_1935.69,SENP1,1998,1214
KCTD3_BTB20112_E1_2448.18,KCTD3,1536,630
PRDM2_E8_69.5,PRDM2,4470,2018
BRAF_PKc_E12_85.2,BRAF,1904,820
FOXO3_E1_153.15,FOXO3,4088,2300
TBX18_E4_172.20,TBX18,4516,2792
ZNF26_E5_1047.19,ZNF26,4242,2158
RNF13_1146.8,RNF13,4128,1656
TRIP12_6123.357,TRIP12,2492,897
RNF122_468.9,RNF122,2166,1290
PBK_PKc_E3_59.2,PBK,1298,452
ZNF772_E5_582.20,ZNF772,4162,2449
TSC22D4_E5_162.3,TSC22D4,2056,1077
ZNF84_E5_1578.122,ZNF84,1872,959
HOXD4_E2_177.21,HOXD4,516,229
PIAS2_1866.115,PIAS2,2748,949
RNF225_990.33,RNF225,1072,540
HIC1_BTB37152_E1_2202.469,HIC1,2590,1523
FBXO18_3285.279,FBXO18,2992,1451
TRIM63_1062.147,TRIM63,1424,749
SATB1_E12_174.5,SATB1,3364,1685
ASB17_888.18,ASB17,1980,791
CHD6_Chromo_E6_63.2,CHD6,1314,676
PPARG_E4_139.5,PPARG,6874,3630
ZNF776_E3_666.51,ZNF776,2054,1331
SHPRH_5052.202,SHPRH,4032,2341
RNF180_1779.97,RNF180,3818,2644
PRMT2_e7_165.21,PRMT2,5432,3169
KCND2_BTB43132_E1_1893.212,KCND2,3252,2331
AK3_PKc_E4_119.7,AK3,1022,515
ROCK1_PKc_E7_145.1,ROCK1,1348,920
JOSD2_567.39,JOSD2,524,268
MAP4K3_PKc_E3_91,MAP4K3,3360,909
UBE2C_540.64,UBE2C,2174,1795
ZNF799_E4_1587.66,ZNF799,5764,3478
EPHA4_PKc_E15_150.7,EPHA4,1360,973
CAD_6678.68,CAD,2490,1142
ZNF841_E7_1674.15,ZNF841,5296,2672
ZNF138_E4_231.2,ZNF138,7914,4281
KEL_2199.283,KEL,3430,2507
CFLAR_708.55,CFLAR,3106,1302
CLOCK_e22_203.2,CLOCK,4098,2165
KLK6_735.108,KLK6,4526,2328
DLX1_E2_129.2,DLX1,2274,1212
KAT6B_Phd2_E5_36.0,KAT6B,4086,2714
USP17L2_1593.25,USP17L2,3452,2519
TCF12_E19_183.11,TCF12,678,263
CAPN10_2019.36,CAPN10,3878,2209
OVGP1_2037.248,OVGP1,1508,960
PREP_2133.128,PREP,2922,1370
TPP1_1692.59,TPP1,3082,1716
TRIM42_2172.44,TRIM42,3218,2534
FBXO5_1206.52,FBXO5,1216,511
JAK2_PKc_E13_135.1,JAK2,2718,1210
RERE_E16_140.20,RERE,2286,1528
MAFF_E3_276.10,MAFF,1220,553
SOX4_E1_216.20,SOX4,4618,3157
ZNF575_E4_504.0,ZNF575,3270,1735
SOCS6_1608.118,SOCS6,2688,1237
DNMT1_Bah9811117_E1_4899.573,DNMT1,1362,869
EMX1_E2_129.10,EMX1,1382,1230
KLK4_765.1,KLK4,5798,3808
ELF4_E8_61.0,ELF4,4296,2459
ZNF568_E7_1170.72,ZNF568,5392,2590
PLK2_PKc_E3_117,PLK2,1744,802
KLHL5_BTB210317_E1_2268.36,KLHL5,3548,1459
HELLS_H_e18_120.2,HELLS,4138,1529
BARHL2_E2_155.1,BARHL2,3292,1473
E2F1_E3_220.2,E2F1,1582,992
EZH1_e18_82.1,EZH1,4276,2295
HLTF_3030.81,HLTF,3942,1577
DBP_E4_159.8,DBP,2890,1435
MYB_SANT_E3_72.0,MYB,1860,548
BRD3_BD2_e6_145.5,BRD3,3968,1755
BACE2_1557.82,BACE2,1260,756
SMN1_Tudor_E5_201.14,SMN1,2848,1042
PRSS56_1812.423,PRSS56,2950,2162
HOXC8_E2_177.13,HOXC8,5140,2549
RFPL4A_864.70,RFPL4A,4418,2603
ELK4_E2_159.6,ELK4,990,482
HAND1_E1_162.12,HAND1,4242,2811
TSHZ3_E2_207.21,TSHZ3,4092,2071
YBX3_E4_90.7,YBX3,3130,1284
XIAP_1494.40,XIAP,2758,1007
XPNPEP2_66.4,XPNPEP2,6334,3326
FOXN2_E3_204.3,FOXN2,6836,3860
USP17L11_885.36,USP17L11,19666,11394
USP17L18_885.36,USP17L18,19666,11394
USP17L19_885.36,USP17L19,19666,11394
MMP21_1710.69,MMP21,1062,726
PHF7_1146.99,PHF7,5478,3575
USP17L24_885.6,USP17L24,17798,12221
USP17L25_885.6,USP17L25,17798,12221
USP17L26_885.6,USP17L26,17798,12221
USP17L5_885.6,USP17L5,17798,12221
ZNF479_E5_990.78,ZNF479,3262,1311
KCTD1_BTB40132_E1_798.1,KCTD1,1254,655
KMT2B_ePhd_E23_138.11,KMT2B,4332,3271
UBTFL1_E1_558.64,UBTFL1,2386,837
MBD1_CXXC217262_E1_1968.31,MBD1,3490,2098
KMT2C_ePhd2_E52_315.17,KMT2C,3510,1646
CHD2_D_e16_135.13,CHD2,3254,1661
ZNF174_E3_237.3,ZNF174,1608,594
KALRN_PKc_E60_399.58,KALRN,2270,1583
MSL2_1734.146,MSL2,1858,1081
CUL5_2343.125,CUL5,2250,1085
PHF21A_Phd_E15_129.0,PHF21A,3678,1640
TRIM67_2352.448,TRIM67,3140,1750
USP45_2445.88,USP45,2812,1524
BRD3_BD1_e4_66.5,BRD3,3106,1595
FBXO10_2871.482,FBXO10,3444,2371
HMX2_E2_174.17,HMX2,4524,2173
PIAS1_Ex_220.0,PIAS1,3098,1553
RNF186_684.109,RNF186,1686,1246
ZNF490_E5_918.63,ZNF490,4976,2555
PRSS35_1242.147,PRSS35,5090,2183
TBX18_E6_63.3,TBX18,1484,497
ZNF770_E3_1944.30,ZNF770,5290,3228
HERC3_2799.51,HERC3,3848,1912
PRSS46_525.66,PRSS46,6066,4685
PRSS46_260.40,PRSS46,6066,4685
RNF8_1458.91,RNF8,1320,543
ATRX_D_e20_138.2,ATRX,3904,1996
MAP4K1_PKc_E3_91.2,MAP4K1,530,254
PHEX_2250.27,PHEX,2626,973
BRD2_BD1_e4_60.3,BRD2,2074,794
SUV39H2_e4_147.6,SUV39H2,3456,2408
TSSK4_PKc_E1_156.11,TSSK4,3048,1954
PIM1_PKc_E4_367.38,PIM1,1518,814
NKX1_2_E2_177.11,NKX1,4284,2065
SNRK_PKc_E5_76.4,SNRK,1662,533
KDM2B_5,KDM2B,2096,981
NR2E3_E2_127.9,NR2E3,1506,831
ZBTB8B_BTB14122_E1_1488.25,ZBTB8B,5032,2998
HSFX2_E1_273.19,HSFX2,4594,1730
CDKL3_PKc_E6_140.5,CDKL3,1052,523
CASP12_1026.5,CASP12,2550,946
USP26_2742.201,USP26,2642,1468
PHF7_1146.116,PHF7,1128,674
KLK11_849.115,KLK11,2472,1496
SP100_E22_143.7,SP100,5784,3676
TRIM66_BD_e19_79.7,TRIM66,3694,1868
NFYC_E3_57.1,NFYC,4142,1197
MEX3A_1563.180,MEX3A,3490,2315
FAM105A_117.5,FAM105A,2916,1463
ZNF610_E6_735.18,ZNF610,4204,2231
SEC11A_558.51,SEC11A,6938,2953
SEC11A_150.8,SEC11A,6938,2953
KLK10_831.134,KLK10,2658,1973
CNDP1_1524.101,CNDP1,6074,4025
QPCT_1086.74,QPCT,1902,898
PRDM9_E11_915.180,PRDM9,8272,4252
ZNF354B_E5_1239.8,ZNF354B,2652,1109
JAK1_PKc_E13_144.4,JAK1,1592,747
ADAMTS8_2670.105,ADAMTS8,2340,1244
KDM2B_Phd_E15_63.2,KDM2B,2854,1408
AMFR_1932.72,AMFR,3956,2266
UBE2G2_498.30,UBE2G2,1670,899
PHF14_Phd2_E13_132.1,PHF14,1398,671
RNF126_936.4,RNF126,1596,998
PCGF6_1,PCGF6,3934,1883
TMEM129_1089.1,TMEM129,3766,2868
RNF187_708.131,RNF187,1142,482
OVCH1_3405.357,OVCH1,4492,2663
UCHL3_693.51,UCHL3,3046,2150
ABHD12B_858.2,ABHD12B,2842,2095
ZNF217_E2_66.0,ZNF217,8622,2032
USP28_3234.298,USP28,2900,1139
BTRC_1818.157,BTRC,2776,1865
TRIM5_1482.150,TRIM5,4004,2374
FBXL21_6,FBXL21,2732,1057
USP22_1578.178,USP22,2900,1332
ZNF671_E4_573.44,ZNF671,4302,2005
TRIM23_1725.31,TRIM23,1990,863
ASB2_1908.28,ASB2,2030,994
HERC1_14586.792,HERC1,4388,3004
SMARCA5_SANT_E20_126.4,SMARCA5,1028,419
CDX4_E2_126.1,CDX4,3280,1840
UBC_2058.230,UBC,1464,862
UNK_2433.43,UNK,1468,506
TRIM77_1353.0,TRIM77,2766,1394
PBX1_E5_136.3,PBX1,4956,2719
STK38_PKc_E7_155.1,STK38,1718,820
MBTPS2_1560.132,MBTPS2,2940,914
RNF144B_912.6,RNF144B,1862,1176
ZKSCAN4_E5_576.47,ZKSCAN4,5234,3310
UBE4B_3909.192,UBE4B,500,207
BACE2_1557.31,BACE2,4740,2586
THAP11_E1_234.15,THAP11,2132,1565
ESRRB_E5_117.2,ESRRB,3314,1761
HOXA10_E2_177.3,HOXA10,7776,3349
OTUB1_816.33,OTUB1,1806,975
ELANE_804.156,ELANE,2962,1582
MUL1_1059.122,MUL1,3030,1640
IRAK1_PKc_E9_208.4,IRAK1,1056,400
TRERF1_SANT_E14_84.0,TRERF1,2568,1083
HDAC9_e19_120.1,HDAC9,8902,5663
ZNF536_E4_38.0,ZNF536,6900,4825
neg37,neg37,14230,6486
ADAMTS2_3636.135,ADAMTS2,3076,2766
RNF133_1131.81,RNF133,1584,923
PAK6_PKc_E11_165.9,PAK6,1536,698
BRD3_BD1_e4_66.4,BRD3,5666,3200
SYK_PKc_E10_210.16,SYK,1394,1127
CTSF_1455.144,CTSF,4574,2193
TNFAIP3_2373.23,TNFAIP3,2026,1419
RNF217_1629.146,RNF217,2310,1042
ADAM12_2730.48,ADAM12,3674,2310
ZNF12_E5_1131.47,ZNF12,5478,2723
DCAF1_10,DCAF1,3302,1363
DMRTC2_E2_113.0,DMRTC2,4454,3248
EN1_E2_180.0,EN1,886,446
DOT1L_e9_80.7,DOT1L,1910,919
SPIB_E6_261.24,SPIB,2238,881
UNK_2433.67,UNK,2720,1448
KMT2C_Phd3_E10_74.2,KMT2C,3078,1832
CHD1L_H_e10_50.2,CHD1L,5714,3582
ZNF780B_E5_1908.129,ZNF780B,3494,1565
ZNF430_E5_1083.43,ZNF430,8046,3779
TBX2_E6_95.0,TBX2,4154,2953
FMR1_Agenet59117_E1_1899.14,FMR1,2618,1225
FBXL21_1305.76,FBXL21,2902,1156
ABHD13_1014.29,ABHD13,3750,2179
ZSCAN10_E6_1281.21,ZSCAN10,472,146
YBX1_E4_90.5,YBX1,2196,1622
TAOK2_PKc_E5_46,TAOK2,2552,1054
ZMIZ1_E19_75.6,ZMIZ1,4068,2611
VSX1_E3_124.10,VSX1,2496,963
ADAMTS10_3312.58,ADAMTS10,5076,2783
PRTN3_771.68,PRTN3,1746,988
HAT1_e3_76.0,HAT1,2948,1060
TDRD6_tudor821866_E1_6291.212,TDRD6,2410,947
RNF25_1380.168,RNF25,1444,898
NR2F6_E1_113.1,NR2F6,10780,4856
USP12_1113.31,USP12,1966,739
RNF141_693.32,RNF141,4946,2452
ERG_E12_252.19,ERG,2102,1349
neg47,neg47,13952,6969
NOBOX_E5_203.29,NOBOX,2988,1882
CORIN_3129.196,CORIN,5532,3236
DNAJC2_E14_101.1,DNAJC2,6186,3137
DNAJC2_SANT_E14_101.1,DNAJC2,6186,3137
CERS5_E3_105.9,CERS5,2838,1541
FOXP2_E13_36.2,FOXP2,3874,1396
TMPRSS11E_1272.43,TMPRSS11E,1526,610
ZNF383_E5_969.6,ZNF383,3200,1968
KMT2E_Phd_E6_73.2,KMT2E,1898,935
PARP15_Macro304431_E1_2037.62,PARP15,1770,458
ZNF446_E7_69.3,ZNF446,3928,2606
ZNF446_E7_69.3,ZNF446,3928,1111
ZNF446_E7_69.3,ZNF446,1970,2606
ZNF446_E7_69.3,ZNF446,1970,1111
TRIM56_2268.563,TRIM56,1502,776
ZNF460_E3_999.75,ZNF460,1160,1016
ZNF43_E7_1908.6,ZNF43,2078,1111
ETS2_E11_141.7,ETS2,1300,1023
DIDO1_Phd_E3_362.22,DIDO1,4228,2019
H2AFY_Macro178364_E1_1119.76,H2AFY,3654,1783
L3MBTL2_MBT408500_E1_2118.128,L3MBTL2,2434,1513
ECE1_2313.173,ECE1,2038,1066
MLLT3_Yeats29112_E1_1707.15,MLLT3,1614,653
CDC5L_E2_104.0,CDC5L,5274,1708
CDC5L_SANT_E2_104.0,CDC5L,5274,1708
DPP10_2403.9,DPP10,4304,1752
DNAJC1_E11_449.37,DNAJC1,5200,2867
DNAJC1_SANT2_E11_449.37,DNAJC1,5200,2867
STAT4_E18_50.3,STAT4,7502,4044
DPP7_1479.33,DPP7,3720,2442
UBE2R2_717.62,UBE2R2,1860,1210
UBE2J1_957.88,UBE2J1,1196,450
COMMD3_588.28,COMMD3,1896,675
PJA2_2127.129,PJA2,3376,1733
ZNF232_E5_324.21,ZNF232,5956,2044
EGR3_E2_237.10,EGR3,2096,975
MLXIPL_E14_66.1,MLXIPL,2544,1325
ZNF248_E6_1053.1,ZNF248,3054,1382
MDM4_1473.78,MDM4,3320,1684
SSRP1_E14_144.12,SSRP1,2528,1365
ZNF441_E4_1239.96,ZNF441,2162,1025
neg34,neg34,15478,7050
ADAMTS17_3288.509,ADAMTS17,2082,1085
PRSS57_852.16,PRSS57,2160,1263
HTRA3_1362.113,HTRA3,1294,418
ARNTL_E8_157.6,ARNTL,4044,1680
RNF32_1089.68,RNF32,2238,1339
ZNF563_E4_579.32,ZNF563,4018,1622
ZNF736_E4_579.27,ZNF736,1834,668
SOX12_E1_216.30,SOX12,5250,5011
TEAD2_E8_143.10,TEAD2,7306,4716
RNF165_1041.67,RNF165,2586,1764
SOX9_E1_122.11,SOX9,1908,1245
DMRTA1_E1_141.18,DMRTA1,4654,2627
MXD4_E4_115.5,MXD4,2090,910
ZNF562_E6_726.16,ZNF562,3672,1863
ZNF436_E4_918.101,ZNF436,2192,683
CDK1_e4.1,CDK1,6930,3628
NCOR1_E14_102.4,NCOR1,4380,1480
NCOR1_SANT_E14_102.4,NCOR1,4380,1480
TCF7L1_E10_99.10,TCF7L1,6718,3924
SMARCA5_SANT_E20_126.5,SMARCA5,1190,278
RNF213_15624.544,RNF213,1998,984
KDM4A_ePhd_E17_109.4,KDM4A,1774,974
ZNF621_E5_162.6,ZNF621,3510,1050
GLIS2_E6_53.3,GLIS2,6862,3771
ZNF212_E5_78.4,ZNF212,9018,5908
TRIM24_BD_e18_150.4,TRIM24,1728,1121
E4F1_E7_173.23,E4F1,3266,2782
EPHB3_PKc_E11_248.16,EPHB3,1592,767
ASB13_837.101,ASB13,1302,734
COPS5_1005.66,COPS5,3534,1195
SMARCE1_E6_132.7,SMARCE1,1136,449
NACC2_BTB20120_E1_1764.6,NACC2,3816,1681
ETV4_E11_111.13,ETV4,2076,974
FBXL21_3,FBXL21,3556,1691
PBRM1_BD1_e3_98.0,PBRM1,4212,1890
SOCS4_1323.36,SOCS4,2682,1475
UBTF_E17_178.19,UBTF,1222,495
TBX19_E3_135.2,TBX19,7138,4112
TSC22D1_E3_138.1,TSC22D1,5980,2750
MTA2_Bah3168_E1_2007.11,MTA2,2898,1392
Nr1h4_E2_76.8,Nr1h4,6258,3454
ZNF559_E6_1170.58,ZNF559,2906,1427
ABHD12_1215.152,ABHD12,4946,2633
IBTK_BTB554639_E1_4062.106,IBTK,3172,1546
ADAMDEC1_1413.96,ADAMDEC1,3314,1560
MMP7_804.42,MMP7,3790,2430
NR0B1_E2_220.5,NR0B1,5004,3291
NPAS1_E2_156.10,NPAS1,1806,859
ZSCAN1_E6_336.5,ZSCAN1,3372,1305
HLTF_H_e23_181.0,HLTF,2826,1707
SIM1_E1_153.1,SIM1,3010,1210
PBK_PKc_E8_191,PBK,1510,963
MAP3K5_PKc_E19_158.19,MAP3K5,2526,1065
FOXH1_E1_78.11,FOXH1,5676,3355
DCAF5_2829.444,DCAF5,2248,1500
HOXC12_E2_171.16,HOXC12,2576,1491
DCAF4_1488.151,DCAF4,3560,1681
KDM4C_e7_104.8,KDM4C,3136,2023
ZNF708_E4_1233.86,ZNF708,2196,937
ASB11_972.58,ASB11,1042,558
GUCY2F_PKc_E10_157.3,GUCY2F,672,395
KDM1B_e12_132.8,KDM1B,1936,1061
KBTBD3_BTB42149_E1_1839.112,KBTBD3,4500,2603
SEC11C_579.43,SEC11C,3402,1473
MYBL2_SANT2_E4_32.0,MYBL2,4902,1892
ZNF235_E5_1239.98,ZNF235,4678,2599
TRIB1_PKc_E2_293.37,TRIB1,1320,778
KLHL1_BTB202305_E1_2247.198,KLHL1,4930,3336
HECTD4_12855.1437,HECTD4,950,399
ZNF580_E1_237.27,ZNF580,502,323
CASP5_879.83,CASP5,2114,1344
TCF20_ePhd_E1_543.17,TCF20,714,222
SGK494_PKc_E3_84,SGK494,766,235
TWIST2_Ex_176.1,TWIST2,1922,1321
CGRRF1_999.37,CGRRF1,1268,618
LHX9_E4_135.2,LHX9,4074,2450
ASPRV1_1032.7,ASPRV1,1924,991
NKX1_1_E2_177.15,NKX1,3236,2162
ZNF267_E4_1101.35,ZNF267,1950,675
ZNF841_E7_1674.90,ZNF841,1868,1098
MYBL1_E4_93.7,MYBL1,7728,3151
MYBL1_SANT_E4_52.1,MYBL1,7728,3151
TRIM25_1893.86,TRIM25,1518,1036
RORB_E2_86.2,RORB,3376,1557
DPF2_Phd2_E10_82.4,DPF2,2400,1303
CASP6_882.64,CASP6,3494,1942
L3MBTL2_MBT511604_E1_2118.233,L3MBTL2,3340,2139
NRL_E3_210.18,NRL,3808,1472
SMARCAL1_D_e8_135.4,SMARCAL1,4222,2089
BRAP_1779.131,BRAP,4146,2705
neg58,neg58,8590,4477
ZNF655_E4_582.17,ZNF655,2534,1005
FBXL4_3,FBXL4,3764,1662
ZFP37_E4_906.70,ZFP37,2616,1490
TULP4_E14_114.1,TULP4,2708,1595
TULP4_4632.356,TULP4,2708,1595
PCGF1_780.7,PCGF1,3718,1757
EZH1_e19_81.0,EZH1,2866,1160
ZNF594_E2_2052.199,ZNF594,2498,1245
RNF111_2988.142,RNF111,5618,3443
USP47_3864.278,USP47,6268,2979
PHF14_Phd2_E13_132.3,PHF14,1446,508
HUWE1_13125.837,HUWE1,2730,1402
SOX13_E12_109.10,SOX13,2094,746
FOXQ1_E1_237.2,FOXQ1,3444,2270
MIB2_3213.291,MIB2,3452,1952
SMYD4_e5_95.0,SMYD4,6040,3797
ZNF215_E7_402.16,ZNF215,3368,1780
SATB1_E12_174.18,SATB1,3162,1818
ZNF454_E5_1011.25,ZNF454,6774,3880
YY2_E1_230.12,YY2,3574,2001
TRIM6-TRIM34_2529.262,TRIM6-TRIM34,1516,964
TRIM6_1551.177,TRIM6,1516,964
ZNF479_E5_990.58,ZNF479,1428,676
CAPN6_1926.63,CAPN6,4824,2672
ADAM10_2247.48,ADAM10,3736,2021
FAP_2283.93,FAP,4218,2800
MBTPS1_3159.431,MBTPS1,1728,841
FBXL3_1287.89,FBXL3,3938,2144
ERG_E12_252.35,ERG,6104,3754
UBE2R2_717.50,UBE2R2,5366,2634
SMAD7_E3_436.41,SMAD7,2296,1142
FBXO8_960.71,FBXO8,4750,2222
RPS6KA1_PKc_E6_80.9,RPS6KA1,592,197
NFKB1_E7_164.2,NFKB1,3750,1860
CELA2B_810.82,CELA2B,4452,2898
UBE2U_681.50,UBE2U,2452,802
AMFR_1932.179,AMFR,1814,793
FERD3L_E1_171.26,FERD3L,1332,479
FBXW2_1365.119,FBXW2,1966,1125
BRPF3_PWWP10741189_E1_3618.291,BRPF3,1800,780
SETD1B_e17_118.1,SETD1B,4218,2764
HERC1_14586.1637,HERC1,3160,1516
ZNF16_E4_1479.126,ZNF16,1650,869
USP26_2742.62,USP26,4550,2726
MMP3_1434.46,MMP3,4032,2068
DPF1_Phd1_E9_94.11,DPF1,2572,1568
GCM2_E2_241.33,GCM2,2612,1398
NANOG_E2_195.0,NANOG,5256,2168
neg7,neg7,30512,16212
SFMBT1_MBT23120_E1_2601.29,SFMBT1,1546,606
ZKSCAN7_E6_1077.22,ZKSCAN7,5218,3767
ZNF547_E4_495.9,ZNF547,5330,3482
PSMB2_606.3,PSMB2,1718,1030
NRF1_E6_159.3,NRF1,3778,1908
RNF152_612.1,RNF152,2062,750
SPSB4_822.102,SPSB4,1130,690
ADNP_E6_126.5,ADNP,5120,2641
NSD1_PWWP319429_E1_8091.932,NSD1,1270,425
C2_2259.238,C2,5132,2758
ITCH_2259.63,ITCH,2118,769
USP1_2358.152,USP1,1716,932
RFX1_E3_182.2,RFX1,3224,1674
ELANE_804.165,ELANE,2552,1842
ZNF208_E4_2559.140,ZNF208,3874,1968
CREB3L3_E6_92.7,CREB3L3,998,428
NR2C1_E5_180.4,NR2C1,2466,876
ZSCAN5B_E4_327.5,ZSCAN5B,2350,1595
