Gene	sgRNA	Ts13|beta	Ts13|z	Ts13|p-value	Ts13|fdr	Ts13|wald-p-value	Ts13|wald-fdr
neg35	1	0.1617	0.65478	0.53793	0.81645	0.51261	0.68465
RPS6KA3	12	0.068946	1.3331	0.19424	0.54393	0.1825	0.37576
SIK2	6	0.12914	1.2042	0.16515	0.5	0.22853	0.42918
SMAD1	6	0.15825	1.6261	0.096406	0.38453	0.10392	0.29148
PIAS2	5	0.18199	1.571	0.084141	0.35414	0.11619	0.30317
ZBTB24	13	-0.096799	-1.8346	0.77838	0.93308	0.066571	0.25637
ZNF624	6	0.0054564	0.10201	0.71078	0.90635	0.91875	0.9581
ARNT	6	0.008662	0.17698	0.69253	0.8966	0.85952	0.91745
ZFP3	6	-0.067164	-0.75009	0.91671	0.9772	0.4532	0.63812
MYPOP	6	-0.077073	-0.71055	0.87536	0.96844	0.47736	0.65632
TMPRSS11D	6	0.19051	1.9289	0.0502	0.26748	0.053749	0.24823
USP18	6	-0.18287	-2.4249	0.47148	0.76599	0.015311	0.14315
HSFY2	6	0.30272	1.9827	0.0028523	0.038023	0.047405	0.24642
SOX12	6	0.04732	0.61274	0.49059	0.78253	0.54005	0.69331
FOXL1	6	-0.083461	-0.88639	0.84855	0.95999	0.37541	0.57027
PRDM16	7	-0.2009	-2.2569	0.38905	0.70674	0.024013	0.18261
ETV6	6	0.053596	1.236	0.45493	0.7566	0.21647	0.41335
CAMTA1	7	0.10518	1.3989	0.19709	0.54689	0.16184	0.35406
FBXO36	2	0.017208	0.34871	0.85511	0.96368	0.72731	0.82629
BFAR	10	0.077077	1.3857	0.20993	0.56746	0.16584	0.35825
UBE2D4	8	0.0022423	0.022567	0.64803	0.87994	0.982	0.99295
PRKCI	6	0.059408	0.50804	0.43069	0.73888	0.61143	0.74098
PHF8	11	-0.061334	-0.71373	0.99515	0.99772	0.4754	0.65465
ANAPC1	10	-0.20906	-0.87184	0.29949	0.63946	0.3833	0.57656
NEURL3	8	0.013143	0.1284	0.58043	0.8437	0.89783	0.94309
C9orf3	6	0.12054	1.7897	0.19253	0.54	0.073508	0.26519
