sgRNA,Gene,DLD1-Cont2_P10.13.initial,DLD1-Cont2_P10.13.final
ZNF782_E6_1062.1,ZNF782,2397,2224.8
C1R_2118.175,C1R,566,602.6
ZNF74_E5_915.57,ZNF74,651,492.8
KCND1_BTB42131_E1_1944.35,KCND1,1329,831.4
NTRK3_PKc_E15_123,NTRK3,1061,1130
TRIM36_2187.183,TRIM36,2561,1907
DNMT3B_PWWP223309_E1_2562.342,DNMT3B,475,465.6
AGA_1041.86,AGA,1699,1112.2
SIAH1_942.79,SIAH1,2099,1314.6
PhIP_BD1_e30_86.1,PhIP,2074,1294.4
PHIP_5466.190,PHIP,2074,1294.4
CHD1L_H_e11_74.2,CHD1L,1296,1258
neg49,neg49,5233,3784.2
RNF34_1122.64,RNF34,523,481.6
SETMAR_e2_380.5,SETMAR,1478,1116.8
DTX3L_2223.99,DTX3L,362,392
ERCC6_H_e13_105.0,ERCC6,1536,1373.6
IKZF5_E5_187.11,IKZF5,1163,829.8
ECT2L_2715.251,ECT2L,728,401.2
BAZ1B_Phd_E15_113.2,BAZ1B,793,793.2
NRF1_E5_141.8,NRF1,1199,830.8
BRD3_BD2_e7_129.3,BRD3,1956,1645.6
USP17L15_1680.151,USP17L15,1716,1337
HOXB3_E4_177.12,HOXB3,1026,1197
FGR_PKc_E10_77.7,FGR,1359,1354
DDB1_3423.475,DDB1,487,494.8
KCNA10_BTB88179_E1_1536.29,KCNA10,416,358
ANAPC5_2268.82,ANAPC5,824,932.2
KDM4A_ePhd_E16_53.4,KDM4A,1018,749.4
PRSS53_1662.325,PRSS53,1177,1304.2
PRSS53_825.103,PRSS53,1177,1304.2
ZNF460_E3_999.105,ZNF460,1439,1137.6
KMT2A_BD_e17_111.4,KMT2A,1305,1226.6
PRMT1_e4_73.7,PRMT1,561,413.4
TRIM40_777.108,TRIM40,625,393
KDM7A_e6_187.7,KDM7A,1300,1029.4
AKTIP_8,AKTIP,1827,2113
USP18_1119.135,USP18,1421,1558
ZNF251_E5_1287.112,ZNF251,2514,3124.8
MAP2K7_PKc_E5_114.12,MAP2K7,1056,1048.4
ZNF276_E2_231.25,ZNF276,980,1004.6
