sgRNA,Gene,HCT116-Ts5.initial,HCT116-Ts5.final
LEUTX_E2_73.2,LEUTX,1785,2338
CDK9_e4.1,CDK9,3477,2784
MKNK1_PKc_E4_98.4,MKNK1,640,632
FOXS1_E1_234.33,FOXS1,1629,2067
RNF20_2928.183,RNF20,676,882
GGTLC2_657.85,GGTLC2,1398,1210
ZNF652_E5_145.8,ZNF652,397,287
PEPD_1482.189,PEPD,1330,904
ZNF429_E4_1167.56,ZNF429,2834,4090
CDK9_e5.2,CDK9,3963,1893
ZNF668_E2_410.27,ZNF668,982,1120
HDAC10_e6_69.8,HDAC10,965,952
RNF152_612.100,RNF152,388,588
PRMT2_e7_165.21,PRMT2,1960,2171
MLLT3_Yeats29112_E1_1707.15,MLLT3,659,893
PMS1_E9_143.6,PMS1,2130,2805
ZIC5_E1_118.4,ZIC5,1228,1721
UBE4B_3909.160,UBE4B,658,521
