Gene	sgRNA	Cont1|beta	Cont1|z	Cont1|p-value	Cont1|fdr	Cont1|wald-p-value	Cont1|wald-fdr
SPPL2A	12	0.27208	0.75968	0.65671	0.94001	0.44745	0.70422
SPPL2B	12	-0.44476	-1.3756	0.34471	0.83707	0.16893	0.68713
SPPL2C	6	-0.46061	-1.0644	0.48862	0.89572	0.28714	0.68713
SPPL3	6	0.071033	0.17252	0.98549	0.99743	0.86303	0.9259
ACE	12	-0.41871	-1.5241	0.37002	0.84498	0.12749	0.68333
ACE2	6	1.1574	1.0348	0.097554	0.63787	0.30075	0.68713
ACY1	6	1.3532	0.86198	0.050626	0.50562	0.3887	0.68713
ACY3	6	-1.1589	-2.1578	0.12742	0.67368	0.03094	0.28628
ADAM10	6	0.45954	0.88088	0.55091	0.90683	0.37838	0.68713
ADAM11	6	0.11787	0.23716	0.93885	0.99072	0.81253	0.90482
ADAM12	6	-0.46258	-1.3975	0.48777	0.89509	0.16226	0.68713
ADAM15	6	-0.84452	-2.1482	0.24915	0.80127	0.031695	0.29173
ADAM17	6	-0.61381	-1.2673	0.37799	0.84498	0.20507	0.68713
ADAM19	6	0.67534	0.81155	0.35552	0.83707	0.41705	0.69429
ADAM2	6	1.275	0.88612	0.062287	0.52143	0.37555	0.68713
ADAM20	6	0.25078	0.5995	0.79067	0.97493	0.54884	0.76498
ADAM21	6	-0.13537	-0.41082	0.7975	0.97493	0.6812	0.83911
ADAM22	6	1.0688	0.94889	0.12856	0.67713	0.34267	0.68713
ADAM23	6	0.34544	0.78566	0.6806	0.94388	0.43207	0.69752
ADAM28	6	0.96625	1.0825	0.1752	0.73722	0.27904	0.68713
ADAM29	6	0.01013	0.023696	0.94653	0.99166	0.9811	0.99599
ADAM30	6	0.66065	0.97415	0.36462	0.84176	0.32998	0.68713
ADAM32	6	0.95105	1.1127	0.18402	0.74713	0.26583	0.68713
ADAM33	6	0.67837	1.0486	0.35324	0.83707	0.29435	0.68713
ADAM7	6	0.44524	0.98341	0.56598	0.90868	0.3254	0.68713
ADAM8	6	-0.77613	-1.5814	0.28584	0.81869	0.11378	0.64524
ADAM9	6	0.093709	0.19121	0.96388	0.99356	0.84836	0.91949
ADAMDEC1	6	1.0742	1.0826	0.12656	0.67368	0.27899	0.68713
ADAMTS1	6	0.74892	1.0667	0.30148	0.81994	0.2861	0.68713
ADAMTS10	6	-0.038751	-0.088918	0.89534	0.98467	0.92915	0.96653
ADAMTS12	6	1.3881	0.90042	0.043515	0.47664	0.3679	0.68713
ADAMTS13	6	0.48642	0.86743	0.51962	0.90467	0.38571	0.68713
ADAMTS14	6	-0.41813	-1.0912	0.52474	0.90467	0.27519	0.68713
ADAMTS15	6	1.3497	1.0371	0.05091	0.50562	0.2997	0.68713
ADAMTS16	6	0.97241	1.2494	0.17207	0.73221	0.21153	0.68713
ADAMTS17	6	1.1363	0.93262	0.10495	0.63966	0.35102	0.68713
ADAMTS18	6	0.54376	0.92573	0.46843	0.89305	0.35459	0.68713
ADAMTS19	6	0.8889	0.93569	0.21502	0.77459	0.34943	0.68713
ADAMTS2	6	0.89628	1.0715	0.21018	0.7731	0.28395	0.68713
ADAMTS20	6	-0.41668	-1.359	0.52617	0.90467	0.17416	0.68713
ADAMTS3	6	0.26542	0.6766	0.77389	0.97457	0.49866	0.73393
ADAMTS4	6	0.19444	0.39322	0.85097	0.97954	0.69416	0.84657
ADAMTS5	6	0.50804	0.75869	0.49573	0.89964	0.44804	0.70455
ADAMTS6	6	0.5718	0.70068	0.44397	0.88106	0.4835	0.72371
ADAMTS7	6	-0.12386	-0.26798	0.80973	0.975	0.78872	0.89226
ADAMTS8	6	0.36393	0.88821	0.65586	0.94001	0.37443	0.68713
ADAMTS9	6	0.9767	1.2318	0.17093	0.73221	0.21801	0.68713
AEBP1	6	0.48489	0.73789	0.52162	0.90467	0.46058	0.70964
AFG3L2	6	-1.7826	-2.8466	0.033845	0.44238	0.0044182	0.070611
ANPEP	6	-0.44472	-1.4862	0.50057	0.90072	0.13722	0.68713
ASPA	6	-0.0081189	-0.020651	0.92804	0.98939	0.98352	0.99599
BMP1	6	-0.26936	-0.57427	0.65643	0.94001	0.56579	0.77412
BRCC3	6	0.091814	0.23579	0.96559	0.99358	0.8136	0.90482
C9orf3	6	0.41864	0.66466	0.59243	0.92087	0.50627	0.73833
CAD	30	-0.062073	-0.3411	0.72867	0.96229	0.73303	0.86954
CNDP1	6	-0.47463	-1.1425	0.47952	0.89305	0.25323	0.68713
CNDP2	6	0.38003	0.73824	0.63595	0.93478	0.46037	0.70963
COPS5	6	-1.475	-2.9236	0.062287	0.52143	0.0034598	0.058299
COPS6	6	-1.7048	-1.7235	0.039818	0.46965	0.08479	0.55987
CPA1	6	1.0187	0.92068	0.15216	0.71088	0.35722	0.68713
CPA2	6	1.0669	0.79913	0.12884	0.67713	0.42421	0.69484
CPA3	6	1.0002	1.2842	0.16069	0.72506	0.19907	0.68713
CPA4	6	-0.40682	-1.163	0.53328	0.90467	0.24483	0.68713
CPA5	6	0.15911	0.35309	0.89135	0.98401	0.72402	0.86196
CPA6	6	0.40254	0.81282	0.61263	0.92645	0.41632	0.69379
CPB1	6	-0.43282	-1.1443	0.51052	0.90467	0.25249	0.68713
CPB2	6	-0.4571	-1.2707	0.4909	0.89756	0.20383	0.68713
CPD	18	0.42457	1.4734	0.36007	0.83707	0.14066	0.68713
CPE	6	-0.57217	-1.1205	0.40301	0.8556	0.26248	0.68713
CPM	6	0.076747	0.16186	0.97753	0.9945	0.87141	0.9309
CPN1	6	-0.36956	-0.92587	0.56655	0.90868	0.35451	0.68713
CPO	6	-0.37349	-0.86289	0.56314	0.90868	0.3882	0.68713
CPQ	6	-0.05115	-0.0966	0.88339	0.98105	0.92304	0.96218
CPZ	6	0.56528	0.76763	0.44966	0.88721	0.44271	0.70273
CRMP1	6	-0.84145	-1.7388	0.25028	0.80127	0.082067	0.54862
DNPEP	6	0.35791	1.0848	0.66411	0.94174	0.27802	0.68713
DPEP1	6	-0.12022	-0.23659	0.81428	0.97551	0.81297	0.90482
DPEP2	6	-0.7975	-1.3236	0.27531	0.81413	0.18564	0.68713
DPEP3	6	0.74852	0.95644	0.30176	0.81994	0.33885	0.68713
DPP3	6	0.18569	0.36006	0.86206	0.97995	0.7188	0.85905
DPYSL3	6	1.0996	0.94094	0.11945	0.67244	0.34673	0.68713
DPYSL4	6	0.71951	0.95374	0.32366	0.83668	0.34021	0.68713
