sgRNA,Gene,DLD1-Ts4.initial,DLD1-Ts4.final
MAPKAPK2_PKc_E6_76.6,MAPKAPK2,1055,1746
TRIM48_675.13,TRIM48,1577,3136
CDK3_PKc_E6_102,CDK3,622,843
ZNF160_E7_1665.108,ZNF160,2241,4872
MTF1_E3_215.12,MTF1,1355,3014
HIVEP2_E5_4578.36,HIVEP2,2047,3746
ZIC5_E1_118.8,ZIC5,516,1095
KMT2C_Phd5_E19_134.10,KMT2C,963,1455
ZNF263_E6_231.13,ZNF263,2220,5124
CLPP_834.119,CLPP,2202,4227
PRDM9_E11_915.125,PRDM9,1214,2832
SFMBT1_MBT23120_E1_2601.33,SFMBT1,858,1620
XIAP_1494.25,XIAP,1278,3288
UBE4A_3201.57,UBE4A,1280,3220
TRIM33_3384.382,TRIM33,483,682
PRSS58_726.36,PRSS58,2092,5499
RSF1_Phd_E8_99.5,RSF1,3435,9658
HSFY2_E2_126.3,HSFY2,2853,5363
KCNB1_BTB33132_E1_2577.14,KCNB1,465,837
TFAP2C_E5_119.7,TFAP2C,1376,1648
KLHL26_BTB56157_E1_1848.32,KLHL26,1576,4370
ELF2_E7_188.12,ELF2,1653,2000
FBXO45_861.128,FBXO45,653,1321
ZNF695_E4_1104.30,ZNF695,1232,4110
TERF2_E10_144.12,TERF2,2970,4308
PITRM1_3117.19,PITRM1,1903,3985
ZNF19_E6_648.22,ZNF19,2002,3159
USP51_2136.182,USP51,948,1801
PSMA4_786.23,PSMA4,1147,1713
BRDT_BD1_e2_121.3,BRDT,2633,6505
KCNS3_BTB17116_E1_1476.14,KCNS3,1558,3590
ZNRF3_2811.553,ZNRF3,342,1266
MOZ_e12_162.1,MOZ,718,841
IRAK1_PKc_E5_81.5,IRAK1,144,283
ZNF223_E5_498.39,ZNF223,1302,2991
ZNF655_E4_582.26,ZNF655,1265,2243
AHRR_E3_126.4,AHRR,553,739
MEX3A_1563.71,MEX3A,315,557
ZFP2_E5_1059.45,ZFP2,1113,2064
ZNF664_E5_735.39,ZNF664,1922,3284
BRD2_BD2_e6_145.7,BRD2,1644,2568
PAPPA_4884.697,PAPPA,1746,3844
TSC22D2_E4_168.3,TSC22D2,611,1285
ASB8_867.58,ASB8,1313,3365
BAZ1A_BD_e25_118.1,BAZ1A,2391,4539
FBXL19_Phd_E4_63.2,FBXL19,858,1228
FBXL19_2085.469,FBXL19,858,1228
AIRE_Phd1_E8_113.6,AIRE,850,2193
UBE2A_459.19,UBE2A,958,2427
ZRANB1_121.0,ZRANB1,1879,3798
USP17L11_885.50,USP17L11,11072,18452
USP17L18_885.50,USP17L18,11072,18452
USP17L19_885.50,USP17L19,11072,18452
USP17L20_885.50,USP17L20,11072,18452
USP17L22_885.50,USP17L22,11072,18452
USP17L24_885.49,USP17L24,11072,18452
USP17L25_885.49,USP17L25,11072,18452
USP17L26_885.49,USP17L26,11072,18452
ZNF300_E7_1077.56,ZNF300,543,1021
ZNF610_E6_735.29,ZNF610,673,1584
STEAP1_1020.54,STEAP1,2733,7616
KMT2B_e36_130.3,KMT2B,2345,5205
TRIM26_1620.228,TRIM26,867,1423
ZNF225_E5_1635.24,ZNF225,1643,3070
DPYSL5_1695.29,DPYSL5,1428,2029
TULP4_4632.49,TULP4,1520,2752
F7_1401.21,F7,919,1834
CDC27_2493.112,CDC27,816,623
ZNF20_E4_1233.57,ZNF20,1632,2138
LRRK2_PKc_E40_191.4,LRRK2,529,967
KCNS3_BTB17116_E1_1476.183,KCNS3,565,1016
MID1_2004.0,MID1,1063,1741
PHOX2A_E3_42.2,PHOX2A,747,1377
BTRC_1818.138,BTRC,1650,3951
USP24_99.1,USP24,2681,6183
TRIM9_2133.287,TRIM9,2133,5755
TBX3_E2_268.13,TBX3,994,1673
HTRA2_1377.21,HTRA2,985,1332
ZNF556_E4_492.44,ZNF556,1578,3233
FOXO4_E2_90.1,FOXO4,2568,4652
TLL1_3042.52,TLL1,1251,2806
TLX3_E2_167.13,TLX3,828,1393
UBE2J1_957.86,UBE2J1,1899,4375
ZNF239_E2_816.82,ZNF239,1558,4123
PLAGL1_E7_67.4,PLAGL1,1253,2115
SP2_E7_80.4,SP2,1938,2524
KMT2D_e51_74.0,KMT2D,1770,3697
