sgRNA,Gene,DLD1-Ts2.18.initial,DLD1-Ts2.18.final,test1,Test2,DLD1-Ts2.18.final_recalculate
PAK4_PKc_E8_126.5,PAK4,1082,2682,1600,1600,1600
MAZ_E2_78.0,MAZ,1495,3644,2149,2149,2149
HMGB1_E2_135.8,HMGB1,830,1848,1018,1018,1018
ZBTB33_E3_657.35,ZBTB33,1523,4048,2525,2525,2525
KDM3A_e21_131.0,KDM3A,2590,6195,3605,3605,3605
PSMB5_792.92,PSMB5,702,1228,526,526,526
ARID2_E3_98.2,ARID2,865,2559,1694,1694,1694
MAP3K9_PKc_E5_68.2,MAP3K9,603,1655,1052,1052,1052
SH3RF1_2667.442,SH3RF1,1655,3661,2006,2006,2006
IMMP2L_528.62,IMMP2L,1501,3496,1995,1995,1995
MMP27_1542.151,MMP27,1912,5069,3157,3157,3157
UBE2F_558.52,UBE2F,833,2034,1201,1201,1201
IRX6_E4_180.0,IRX6,1917,4900,2983,2983,2983
ABHD17B_882.53,ABHD17B,1793,5029,3236,3236,3236
ZSCAN31_E4_492.10,ZSCAN31,2050,4339,2289,2289,2289
ALK_PKc_E22_65.1,ALK,634,1363,729,729,729
FOXP3_E11_102.1,FOXP3,6550,16446,9896,9896,9896
WHSC1L1_PWWP9581051_E1_4314.148,WHSC1L1,1109,2778,1669,1669,1669
FBXO48_468.6,FBXO48,739,1672,933,933,933
ARNTL2__158.7,ARNTL2,4218,11674,7456,7456,7456
ZNF75D_E7_405.21,ZNF75D,2352,5518,3166,3166,3166
RNF180_1779.95,RNF180,918,2428,1510,1510,1510
IPP_BTB28134_E1_1755.152,IPP,1234,2690,1456,1456,1456
CRAMP1_SANT_E2_48.2,CRAMP1,563,1219,656,656,656
TYK2_PKc_E18_135.4,TYK2,472,1031,559,559,559
SOCS2_597.39,SOCS2,1315,3725,2410,2410,2410
USP17L2_1593.179,USP17L2,2836,7555,4719,4719,4719
ZFP2_E5_1059.49,ZFP2,5010,12512,7502,7502,7502
NFIL3_E2_156.5,NFIL3,2166,5136,2970,2970,2970
MMP26_786.44,MMP26,2502,6688,4186,4186,4186
ADAMTS13_4284.886,ADAMTS13,1520,3822,2302,2302,2302
RFX6_E4_62.7,RFX6,1638,4252,2614,2614,2614
KDM4B_tudor9751030_E1_3291.35,KDM4B,299,926,627,627,627
PRKCB_PKc_E5_55.3,PRKCB,1381,3631,2250,2250,2250
UBE4A_3201.25,UBE4A,1265,3123,1858,1858,1858
BRWD3_BD_e32_126.5,BRWD3,1472,4278,2806,2806,2806
VPS11_2825.164,VPS11,1555,3637,2082,2082,2082
PRSS1_744.88,PRSS1,1562,4049,2487,2487,2487
PIAS4_E9_132.3,PIAS4,871,2121,1250,1250,1250
TOX4_E5_144.1,TOX4,3050,5349,2299,2299,2299
TRIM38_1398.156,TRIM38,1566,3719,2153,2153,2153
USP38_3129.204,USP38,774,1747,973,973,973
PIAS2_E9_129.8,PIAS2,3878,10501,6623,6623,6623
PIAS2_1866.123,PIAS2,3878,10501,6623,6623,6623
FBXO34_3,FBXO34,1330,3215,1885,1885,1885
MIER3_E10_81.1,MIER3,2230,6092,3862,3862,3862
MIER3_SANT_E10_87.1,MIER3,2230,6092,3862,3862,3862
ARID4A_E13_95.1,ARID4A,1275,3436,2161,2161,2161
ANAPC7_1800.61,ANAPC7,700,1622,922,922,922
KMT2C_e58_117.5,KMT2C,6871,17354,10483,10483,10483
KMT2C_14736.745,KMT2C,6871,17354,10483,10483,10483
CDK9_e4.2,CDK9,5159,9062,3903,3903,3903
STKLD1_PKc_E3_45,STKLD1,688,1657,969,969,969
T_E3_265.10,T,1902,5033,3131,3131,3131
RXRG_E4_180.16,RXRG,3325,9300,5975,5975,5975
