sgRNA,Gene,DLD1-Ts2.18.initial,DLD1-Ts2.18.final
SETMAR_e2_380.5,SETMAR,1635,3620
DTX3L_2223.99,DTX3L,477,1134
ERCC6_H_e13_105.0,ERCC6,1731,4101
IKZF5_E5_187.11,IKZF5,1231,2690
ECT2L_2715.251,ECT2L,645,1556
BAZ1B_Phd_E15_113.2,BAZ1B,904,2271
NRF1_E5_141.8,NRF1,1598,2721
BRD3_BD2_e7_129.3,BRD3,1913,4720
USP17L15_1680.151,USP17L15,1785,4213
HOXB3_E4_177.12,HOXB3,1203,3015
FGR_PKc_E10_77.7,FGR,1573,3575
DDB1_3423.475,DDB1,560,1791
KCNA10_BTB88179_E1_1536.29,KCNA10,432,1179
ANAPC5_2268.82,ANAPC5,1214,2079
KDM4A_ePhd_E16_53.4,KDM4A,887,2012
PRSS53_1662.325,PRSS53,1323,3948
PRSS53_825.103,PRSS53,1323,3948
ZNF460_E3_999.105,ZNF460,1550,2896
KMT2A_BD_e17_111.4,KMT2A,1544,3256
PRMT1_e4_73.7,PRMT1,546,1394
TRIM40_777.108,TRIM40,349,1123
KDM7A_e6_187.7,KDM7A,1420,3431
AKTIP_8,AKTIP,2176,5147
USP18_1119.135,USP18,2062,4245
ZNF251_E5_1287.112,ZNF251,3125,7916
MAP2K7_PKc_E5_114.12,MAP2K7,965,2956
ZNF276_E2_231.25,ZNF276,1133,2608
HSF4_E4_109.8,HSF4,857,2402
CUL4B_2742.48,CUL4B,1332,3562
GATAD2B_E8_203.16,GATAD2B,1570,3789
KDM5D_e15_118.1,KDM5D,2362,6519
KLK8_134.1,KLK8,1761,4701
KDM5A_e12_163.5,KDM5A,3084,8830
ANAPC5_2268.41,ANAPC5,2016,4981
KDM5A_Phd3_E28_204.0,KDM5A,518,1253
ZNF155_E5_750.59,ZNF155,1185,3193
IVNS1ABP_BTB22126_E1_1929.1,IVNS1ABP,731,2056
UBE2V1_513.26,UBE2V1,1259,3010
CTRB1_792.75,CTRB1,1345,2592
PRKRIR_E1_80.9,PRKRIR,1343,2674
TGFBR2_PKc_E8_102.12,TGFBR2,1416,3275
HLTF_3030.169,HLTF,1321,3230
MMP21_1710.74,MMP21,871,2116
ZNF200_E5_240.12,ZNF200,1181,2463
ZNF677_E5_903.12,ZNF677,2484,6128
ZNF534_E4_1170.83,ZNF534,518,1546
MARCH7_2001.91,MARCH7,1942,4307
ZNF530_E3_1005.13,ZNF530,2372,6399
PTK7_PKc_E18_152.17,PTK7,252,466
PHF19_Phd1_E5_86.9,PHF19,1617,4504
FOS_E3_75.1,FOS,1021,2262
KDM1B_e13_75.2,KDM1B,3060,7521
ZNF816_E5_999.43,ZNF816,4339,11585
KDM4A_tudor9601004_E1_3195.227,KDM4A,1458,3576
UBE2E3_624.10,UBE2E3,2725,6580
LTA4H_1836.192,LTA4H,1348,2940
HMX2_E2_174.21,HMX2,2387,6141
ZIC1_E1_157.1,ZIC1,2663,7539
PRMT5_e12_106.10,PRMT5,2980,5734
HM13_1281.181,HM13,1128,3444
JARID2_E17_108.3,JARID2,1344,2952
RAG1_3132.353,RAG1,1369,3392
PLK2_PKc_E4_130.5,PLK2,403,796
MAP3K9_PKc_E2_412.14,MAP3K9,638,1775
MAFA_E1_273.9,MAFA,1688,3695
MMP24_1938.66,MMP24,1615,3514
DOT1L_e7_63.4,DOT1L,2006,3262
FBXW5_1701.238,FBXW5,316,730
IKZF2_E5_168.5,IKZF2,1585,3741
KMT2C_14736.787,KMT2C,1285,3143
TADA2B_E2_73.0,TADA2B,1153,2370
MST1_2178.186,MST1,1499,2563
TRIM24_Phd_E15_104.1,TRIM24,2940,6804
TRIM24_3153.132,TRIM24,2940,6804
ZNF217_E3_47.0,ZNF217,2086,4692
RNF217_1629.147,RNF217,978,2682
MAPK13_PKc_E5_30,MAPK13,553,1281
ZPR1_E9_71.1,ZPR1,1334,2398
PHF11_Phd_E3_84.0,PHF11,1486,4425
ZNF705G_E5_162.6,ZNF705G,1715,4021
STK17B_PKc_E2_53.1,STK17B,679,1569
KCNG4_BTB61160_E1_1560.19,KCNG4,1551,4515
ZNF90_E4_996.22,ZNF90,1292,2986
RNF125_699.53,RNF125,1080,2298
ARID5A_E6_34.3,ARID5A,976,2235
HNF1B_E3_116.0,HNF1B,1500,3335
FOXD4L6_E1_234.5,FOXD4L6,2881,6474
CSF1R_PKc_E17_98.1,CSF1R,790,1991
TULP4_E13_120.16,TULP4,1500,3370
TULP4_4632.365,TULP4,1500,3370
L3MBTL2_MBT511604_E1_2118.165,L3MBTL2,1331,3214
ZNF80_E1_411.42,ZNF80,2212,5441
KLHL20_BTB59165_E1_1830.16,KLHL20,1152,2755
SCYL1_PKc_E3_123.21,SCYL1,661,1646
ZNF341_E3_81.7,ZNF341,692,1592
ASPRV1_1032.66,ASPRV1,1741,4190
HOXA3_E3_177.16,HOXA3,947,2014
ZNF584_E4_495.49,ZNF584,1168,2491
Nr1h4_E3_153.14,Nr1h4,730,1742
MAPKAPK2_PKc_E6_76.6,MAPKAPK2,1261,2341
TRIM48_675.13,TRIM48,1605,4214
CDK3_PKc_E6_102,CDK3,568,1565
ZNF160_E7_1665.108,ZNF160,2484,7988
MTF1_E3_215.12,MTF1,1370,3759
